alpha,cl,cd,cm,cl_new,cd_new,cm_new,cl_breukels,cd_breukels,cm_breukels,cl_neuralfoil,cd_neuralfoil,cm_neuralfoil
-0.6981317007977318,-1.1848928844086113,0.3510549848669908,0.1873844150769446,-1.1879059017689135,0.352344455510422,0.1873844150769446,0.6330222215594888,-0.5311687126375895,-6.341447837948749,-1.1879059017689135,0.352344455510422,0.1873844150769446
-0.6806784082777885,-1.1767987688325467,0.3485049654191372,0.1846196063120107,-1.1797718718628831,0.3497653977125503,0.1846196063120107,0.6155682305982587,-0.4984773244805721,-6.024070656632828,-1.1797718718628831,0.3497653977125503,0.1846196063120107
-0.6632251157578453,-1.1672123478818135,0.3453339859778379,0.1815420726743251,-1.1701534468631771,0.3465530217410102,0.1815420726743251,0.5973736983412611,-0.466719484167187,-5.714728340666677,-1.1701534468631771,0.3465530217410102,0.1815420726743251
-0.6457718232379019,-1.156151513986709,0.3415625282429345,0.1781662364208138,-1.159066112273581,0.3427281259248802,0.1781662364208138,0.5785017297962965,-0.4359323214794715,-5.413420890050296,-1.159066112273581,0.3427281259248802,0.1781662364208138
-0.6283185307179586,-1.1436335666300677,0.3372172781397026,0.1745078643795467,-1.1465218600626297,0.3383175121028184,0.1745078643795467,0.5590169943749475,-0.4061496202911329,-5.120148304783686,-1.1465218600626297,0.3383175121028184,0.1745078643795467
-0.6108652381980153,-1.1296783464885616,0.3323314462594574,0.1705844711041193,-1.1325316486050283,0.3333537743129473,0.1705844711041193,0.5389855446957562,-0.3774017413820349,-4.834910584866845,-1.1325316486050283,0.3333537743129473,0.1705844711041193
-0.5934119456780721,-1.1143125371554108,0.326945414574983,0.1664158117370131,-1.117109756470748,0.3278754103959132,0.1664158117370131,0.5184746316864006,-0.3497155548392175,-4.557707730299775,-1.117109756470748,0.3278754103959132,0.1664158117370131
-0.5759586531581288,-1.0975742035694842,0.3211074843536765,0.1620242168572138,-1.1002802702724266,0.321927704787799,0.1620242168572138,0.4975525164928275,-0.3231143822249717,-4.2885397410824755,-1.1002802702724266,0.321927704787799,0.1620242168572138
-0.5585053606381855,-1.0795158223098325,0.3148738577212135,0.1574342769887657,-1.0820853308723417,0.3155645745508339,0.1574342769887657,0.4762882797120396,-0.2976179486656706,-4.027406617214945,-1.0820853308723417,0.3155645745508339,0.1574342769887657
-0.5410520681182421,-1.0602041786435858,0.3083064060642608,0.1526713183880618,-1.0625927815311214,0.3088507999496895,0.1526713183880618,0.454751628472528,-0.2732423449877943,-3.7743083586971853,-1.0625927815311214,0.3088507999496895,0.1526713183880618
-0.5235987755982988,-1.0397161660867638,0.3014678240076891,0.1477587907872947,-1.0418977771720954,0.3018626143757345,0.1477587907872947,0.4330127018922192,-0.2499999999999999,-3.5292449655291946,-1.0418977771720954,0.3018626143757345,0.1477587907872947
-0.5061454830783556,-1.018129798436573,0.2944161087691694,0.1427158125279776,-1.020113191245066,0.2946821256755771,0.1427158125279776,0.411141875448226,-0.2278996629922186,-3.292216437710977,-1.020113191245066,0.2946821256755771,0.1427158125279776
-0.4886921905584123,-0.995510886472298,0.2872003570184524,0.1375556060456681,-0.9973501429413024,0.2873816127142782,0.1375556060456681,0.3892095647956368,-0.2069463964946995,-3.0632227752425267,-0.9973501429413024,0.2873816127142782,0.1375556060456681
-0.4712388980384689,-0.9718990927987664,0.2798569308275694,0.1322832309060938,-0.9736936685729922,0.2800053359999119,0.1322832309060938,0.3672860295740685,-0.1871415793117512,-2.842263978123848,-0.9736936685729922,0.2800053359999119,0.1322832309060938
-0.4537856055185257,-0.9472990503503504,0.2724036808670719,0.1268915503176418,-0.9491756967210928,0.2725656981181606,0.1268915503176418,0.3454411777407038,-0.1684829198167133,-2.6293400463549386,-0.9491756967210928,0.2725656981181606,0.1268915503176418
-0.4363323129985824,-0.92167984728702,0.2648343698275301,0.1213602143912649,-0.9237529471224172,0.2650543122958151,0.1213602143912649,0.3237443709670646,-0.150964479466515,-2.4244509799358,-0.9237529471224172,0.2650543122958151,0.1213602143912649
-0.4188790204786391,-0.8949838616058569,0.2571216125715507,0.1156672201269591,-0.8973102258163996,0.2574468166135086,0.1156672201269591,0.3022642316338267,-0.1345767064661235,-2.227596778866432,-0.8973102258163996,0.2574468166135086,0.1156672201269591
-0.4014257279586958,-0.8671436535039265,0.2492324631005104,0.1098131445916634,-0.8696974800331826,0.2496898646522524,0.1098131445916634,0.28106845195357,-0.1193064794853097,-2.038777443146832,-0.8696974800331826,0.2496898646522524,0.1098131445916634
-0.3839724354387525,-0.8381000707369309,0.24032179970533213,0.1038366990150041,-0.8407787698017546,0.241696948398784,0.1038366990150041,0.2602236057454936,-0.1051371613025675,-1.8579929727770037,-0.8407787698017546,0.241696948398784,0.1038366990150041
-0.3665191429188092,-0.8078139016887289,0.2303998720918152,0.0978020603328209,-0.8104782431731598,0.2333923119224225,0.0978020603328209,0.2397949633788274,-0.0920486622237664,-1.6852433677569456,-0.8104782431731598,0.2333923119224225,0.0978020603328209
-0.3490658503988659,-0.7762699568167641,0.21948041023995396,0.091769929913888,-0.7788122118594796,0.2247812897026294,0.091769929913888,-1.290644945990387,0.20421121124006475,-1.5205286280866575,-0.7788122118594796,0.2247812897026294,0.091769929913888
-0.3316125578789226,-0.7434765828303072,0.20758476504674128,0.0857787921355479,-0.7458706173521239,0.210191054351913,0.0857787921355479,-1.4465565776606115,0.1879180154842668,-1.3638487537661395,-0.7458706173521239,0.2159636844801469,0.0857787921355479
-0.3141592653589793,-0.7094609876105985,0.19474664569677896,0.0798466301423822,-0.7117497637850025,0.1956008190011966,0.0798466301423822,-1.5671339132575888,0.1724603682287662,-1.2152037447953916,-0.7117497637850025,0.207066278488372,0.0798466301423822
-0.296705972839036,-0.6729018371260982,0.18101058365048014,0.0739855224032753,-0.6765026117126464,0.18101058365048014,0.0739855224032753,-1.6542942572335593,0.15783826947356294,-1.074593601174414,-0.6765026117126464,0.1981676161111605,0.0739855224032753
-0.2792526803190927,-0.6339942034746756,0.16642034829976377,0.0682184158177106,-0.6401438621279836,0.16642034829976377,0.0682184158177106,-1.7099549140407628,0.144051719218657,-0.9420183229032064,-0.6401438621279836,0.1892709182453173,0.0682184158177106
-0.2617993877991494,-0.5929203099697129,0.1518301129490473,0.0625863436612503,-0.6026696032637939,0.15183011294904736,0.0625863436612503,-1.7360331881314401,0.13110071746404833,-0.8174779099817688,-0.6026696032637939,0.1803149835097074,0.0625863436612503
-0.2443460952792061,-0.5498486221911767,0.13723987759833095,0.0571283246137724,-0.5545641897816578,0.13723987759833095,0.0571283246137724,-1.7344463839578308,0.11898526420973715,-0.7009723624101019,-0.5640453890365844,0.1711915557464039,0.0571283246137724
-0.2268928027592628,-0.5049400399255292,0.12264964224761454,0.051836137433534,-0.5064587762995216,0.12264964224761454,0.051836137433534,-1.7071118059721755,0.10770535945572315,-0.5925016801882048,-0.5241496675986237,0.1617635328757666,0.051836137433534
-0.2094395102393195,-0.45835336281738526,0.10900976755373984,0.0466376664823334,-0.45835336281738526,0.10805940689689811,0.0466376664823334,-1.655946758626714,0.0972610032020066,-0.49206586331607804,-0.4828037544576138,0.1519266487856504,0.0466376664823334
-0.1919862177193762,-0.410247949335249,0.09643961758817785,0.0414592723038302,-0.4102479493352491,0.09346917154618176,0.0414592723038302,-1.582868546373687,0.08765219544858724,-0.39966491179372116,-0.4402367378629075,0.1416916419386656,0.0414592723038302
-0.1745329251994329,-0.3621425358531128,0.0850585564223996,0.0363515941132752,-0.36214253585311285,0.07887893619546535,0.0363515941132752,-1.4897944736653344,0.07887893619546535,-0.31529882562113454,-0.3979144460848519,0.1312407196401793,0.0363515941132752
-0.1570796326794896,-0.3140371223709766,0.0709412254426407,0.0315808471427127,-0.3140371223709766,0.0709412254426407,0.0315808471427127,-1.3786418449538964,0.0709412254426407,-0.23896760479831805,-0.3592287779266156,0.1208750383435123,0.0315808471427127
-0.1396263401595463,-0.2659317088888403,0.0638390631901134,0.0273387257358039,-0.2659317088888403,0.0638390631901134,0.0273387257358039,-1.2513279646916133,0.0638390631901134,-0.17067124932527175,-0.3280940534270519,0.1104468344155582,0.0273387257358039
