alpha,CL,CD,CM
-30.0,-0.8764010364328899,0.3373024525371381,0.10927841824053237
-29.0,-0.8525105109627638,0.33065573826022604,0.10352822223014613
-28.0,-0.8276753596608245,0.3231563561600846,0.0976939017285927
-27.0,-0.8020361790992502,0.31487274234619694,0.09185557075100684
-26.0,-0.7756859212690066,0.3059055067649381,0.08609194554903371
-25.0,-0.748667578479947,0.2963709184815427,0.08047103056004795
-24.0,-0.7209874577458399,0.28637515343649694,0.07504448729041487
-23.0,-0.6926389381876211,0.27598193552912087,0.06984678536698471
-22.0,-0.6636284578681493,0.2651889001921826,0.0648933646462083
-21.0,-0.6340001444982184,0.2539303259396672,0.06017587145034069
-20.0,-0.6038267358341346,0.2421259548040196,0.055663725491993644
-19.0,-0.5731492187412359,0.22978682830279296,0.05132018032327518
-18.0,-0.5419360683625325,0.2170987738577794,0.047124463105538444
-17.0,-0.5100917076773864,0.20432706522942695,0.0430716759602498
-16.0,-0.477347108469094,0.19156805959627377,0.03912223703687594
-15.0,-0.4431988782227416,0.17879287238342725,0.03519102784316717
-14.0,-0.40753811061359946,0.1661670261817034,0.0312873430223951
-13.0,-0.37079336274273267,0.1538158738335637,0.027445570486052274
-12.0,-0.3333014587149955,0.14184839520588635,0.023540722143071735
-11.0,-0.2950629152724661,0.1305100810998337,0.01953767845825658
-10.0,-0.25603339278983617,0.12005197476886655,0.01566438969989047
-9.0,-0.216612016363935,0.11055138604034837,0.01207474081626672
-8.0,-0.17701250893010922,0.10186345342911472,0.008797477927814901
-7.0,-0.13584518493704784,0.09385870156058644,0.00570300693089421
-6.0,-0.09004677966485186,0.08644736938500668,0.002422730505956715
-5.0,-0.0367796425639787,0.07959842687798854,-0.0015174314036125662
-4.0,0.024062612612433754,0.07335056362613541,-0.006238185281689419
-3.0,0.09048074181781907,0.0676805884138409,-0.011518393350546404
-2.0,0.16110310794375127,0.062366260248795546,-0.01718043382330194
-1.0,0.23581519814012275,0.057203234199115174,-0.02296802547032997
0.0,0.3167549749095467,0.05230953911323097,-0.028644329441564167
1.0,0.40736330758069794,0.04803357454668376,-0.033976770717283694
2.0,0.508522612591306,0.04495229515318765,-0.03861415775277743
3.0,0.6159472238963913,0.043797463797875295,-0.04200921795660893
4.0,0.7252161544422496,0.043514575007903684,-0.0438545621374847
5.0,0.833132321460692,0.0430349767713832,-0.04407876434426685
6.0,0.9423111407855789,0.04231450048156369,-0.043056864201145406
7.0,1.0537936853900536,0.04163355764401613,-0.040961727376099766
8.0,1.1600129097287748,0.041339389398067125,-0.037538288305052764
9.0,1.2584996687251575,0.04148242842627124,-0.03491332645209726
10.0,1.3345841360266353,0.04398523470813285,-0.032677917243012534
11.0,1.3764384735502226,0.05084963936587245,-0.031008034464929144
12.0,1.3980569867504538,0.061697825187136665,-0.03247793060138951
13.0,1.3986059746096267,0.07662501622058061,-0.03714357443690001
14.0,1.401697435780681,0.08837139183444892,-0.040926434339493487
15.0,1.411622952294499,0.09145830687479882,-0.04009093449651253
16.0,1.4032780601964343,0.10120881236663301,-0.04572306365109889
17.0,1.4236572077382812,0.113150821571339,-0.05607801182536329
18.0,1.5130551669621475,0.11353868171009855,-0.060296174335077744
19.0,1.5884593037736559,0.11594771615801715,-0.06734423752567656
20.0,1.5878637541966945,0.13131281500712363,-0.08426389694614765
21.0,1.4642181439072033,0.18422384543733633,-0.11032112255306735
22.0,1.307355313372092,0.2651496735884118,-0.13699115222278205
23.0,1.2542195957416058,0.2936805876259005,-0.15433310596260158
24.0,1.264692009334323,0.2823478913343754,-0.1633770389383612
25.0,1.280687912875011,0.2780729164300167,-0.1693964018085645
26.0,1.3016895702054736,0.2826818812620152,-0.17486309096842043
27.0,1.3270068269617632,0.290569633592442,-0.18019156842572018
28.0,1.3526283071054337,0.29904119435181503,-0.1852499798714136
29.0,1.3767129383528263,0.307331015222215,-0.18999032576711528
30.0,1.3992279317253375,0.31525934093192803,-0.1944627496076548
