1.000000000000000000e+00,0.000000000000000000e+00
9.999817917876597795e-01,9.316547111345723929e-05
9.999635835753196700e-01,1.863309422269144786e-04
9.999453753629794495e-01,2.794964133403717043e-04
9.999271671506393400e-01,3.726618844538289572e-04
9.999053148793715096e-01,4.649364793013587970e-04
9.998765112076970496e-01,5.553791117491250866e-04
9.998436002303077164e-01,6.444100573781848772e-04
9.998073107304669138e-01,7.321175164725321786e-04
9.997670165432790412e-01,8.180563560950613721e-04
9.997231665180865701e-01,9.022370537059274699e-04
9.996754578659654555e-01,9.842880649640231398e-04
9.996239088587518529e-01,1.063984694587423192e-03
9.995685132595931721e-01,1.141050931106409863e-03
9.995089896513370542e-01,1.214978223947480807e-03
9.994454993431806100e-01,1.285518193807178890e-03
9.993777675493460411e-01,1.352001733385217817e-03
9.993060312846655524e-01,1.414128138042385421e-03
9.992303783047582488e-01,1.471433149982078479e-03
9.991509620297975847e-01,1.523381507536319046e-03
9.990684042104350793e-01,1.570197130697100667e-03
9.989826999039399524e-01,1.610968727616288133e-03
9.988947497576821100e-01,1.646627790601486738e-03
9.988047848823727870e-01,1.676874768865698829e-03
9.987133625381301449e-01,1.702370728176038055e-03
9.986208792071481488e-01,1.723737381476067891e-03
9.985276099186087828e-01,1.741368817958728176e-03
9.984338869598167188e-01,1.756426498982443423e-03
9.983398458662204877e-01,1.769366302988037301e-03
9.982456846999999689e-01,1.781406699999999940e-03
9.879215473000000358e-01,3.075312000000000184e-03
9.719556141308904884e-01,5.073788955868027174e-03
9.559896404370509249e-01,7.071942160502734699e-03
9.400238193180796564e-01,9.071314064684652193e-03
9.240581603227044916e-01,1.107198017253220070e-02
9.080926162910790689e-01,1.307356354647551573e-02
8.921270578819882058e-01,1.507503223050216980e-02
8.761613347256251849e-01,1.707518622727815377e-02
8.601953901172953998e-01,1.907357169504154612e-02
8.442291802145487356e-01,2.106983652740926360e-02
8.282628163788718911e-01,2.306486985863511266e-02
8.122964255763022168e-01,2.505968737665493704e-02
7.963301696556283060e-01,2.705558410227395030e-02
7.803642499657640341e-01,2.905416851131058242e-02
