panel LE : -0.840315, -5.53173, 1.56966, TE : 0.0042422, -5.49199, 1.55961
10, 1.20742, 0.0157785, -0.00282004
11, 1.2499, 0.0171901, 0.00911243
12, 1.2819, 0.0199396, 0.0204639
13, 1.31655, 0.0237269, 0.0282787
14, 1.35053, 0.0285417, 0.0330564
15, 1.37378, 0.0354369, 0.0351192
16, 1.37126, 0.0464747, 0.0338766
17, 1.33724, 0.0630843, 0.0287465
18, 1.25882, 0.0874174, 0.019516
19, 1.17365, 0.114247, 0.00833276
panel LE : -0.886062, -5.47805, 1.79756, TE : 0.0357262, -5.43581, 1.78365
-1, 0.0333848, 0.0102486, -0.011071
0, 0.126484, 0.00951894, -0.00735123
1, 0.223057, 0.00928752, -0.00390929
2, 0.326236, 0.00946142, -0.00171417
3, 0.429254, 0.00969955, 0.000474803
4, 0.532586, 0.0100128, 0.00256208
5, 0.64191, 0.0105398, 0.0033559
6, 0.755904, 0.0112757, 0.00278068
7, 0.870726, 0.0121045, 0.0016775
8, 0.985991, 0.013137, 6.81108e-06
9, 1.09817, 0.01429, -0.0014014
10, 1.20807, 0.0157211, -0.00292096
11, 1.25092, 0.0171425, 0.00893618
12, 1.28159, 0.0199424, 0.0204942
13, 1.31723, 0.0236678, 0.0282202
14, 1.35201, 0.02841, 0.0329857
15, 1.37534, 0.0352762, 0.0350984
16, 1.37398, 0.0461524, 0.0339376
17, 1.34055, 0.0626511, 0.0288788
18, 1.26277, 0.0868409, 0.0197316
19, 1.17619, 0.11386, 0.00848285
panel LE : -0.893467, -5.46937, 1.83445, TE : 0.0408209, -5.42672, 1.81991
-1, 0.0349295, 0.0103555, -0.0112988
0, 0.126633, 0.00950096, -0.00737972
1, 0.223296, 0.00926773, -0.00396032
2, 0.326539, 0.00943588, -0.00177791
3, 0.429556, 0.00967144, 0.000409592
4, 0.532841, 0.00997994, 0.00250539
5, 0.641811, 0.0104971, 0.0033748
6, 0.755837, 0.0112292, 0.00279955
7, 0.870248, 0.0120532, 0.00179119
8, 0.985421, 0.0130891, 0.000139955
9, 1.09764, 0.0142338, -0.00126374
10, 1.20767, 0.0156594, -0.00280214
11, 1.25186, 0.0170979, 0.0087717
12, 1.28121, 0.0199484, 0.020535
14, 1.35343, 0.0282834, 0.0329192
15, 1.37685, 0.0351191, 0.0350798
16, 1.37659, 0.045843, 0.0339967
17, 1.34387, 0.0622101, 0.029021
18, 1.2665, 0.086291, 0.019939
19, 1.17863, 0.113482, 0.00863492
panel LE : -0.900872, -5.4607, 1.87133, TE : 0.0459156, -5.41763, 1.85616
-1, 0.0362388, 0.0104455, -0.0114915
0, 0.126785, 0.00948421, -0.00740816
1, 0.223508, 0.00924863, -0.00400589
2, 0.326844, 0.00941204, -0.00184219
3, 0.429858, 0.00964497, 0.000344178
4, 0.533091, 0.00994863, 0.00244957
5, 0.641691, 0.0104557, 0.00339774
6, 0.755735, 0.011184, 0.00282576
7, 0.869745, 0.0120033, 0.00191008
8, 0.984832, 0.0130412, 0.000278482
9, 1.09709, 0.0141789, -0.00112067
10, 1.20726, 0.0155994, -0.00268206
11, 1.25277, 0.0170546, 0.00861393
12, 1.28103, 0.0199425, 0.0205533
13, 1.31888, 0.0235282, 0.0280812
14, 1.35479, 0.0281598, 0.0328554
15, 1.37834, 0.0349632, 0.0350631
16, 1.37906, 0.0455486, 0.0340516
17, 1.34719, 0.0617628, 0.0291721
18, 1.26992, 0.0857885, 0.0201294
