alpha,Cl,Cd,Cm
-14.999999999999998,-0.7815989424727691,0.043594115630851714,-0.03199900843965825
-14.500000000000002,-0.7663803428208129,0.04122459564481177,-0.03634460214635203
-14.0,-0.7502451687711982,0.03918678067077141,-0.040605938182747166
-13.5,-0.7327695756500752,0.03745338793748025,-0.04472733321575579
-13.0,-0.7134137493648349,0.03606744534666569,-0.04864283747126026
-12.5,-0.6916266920343408,0.03500830281546665,-0.052377032339732774
-12.000000000000002,-0.6671602355806505,0.03420172081323969,-0.05603866304943674
-11.5,-0.6400379475300383,0.03357727902020949,-0.059763644347293775
-11.0,-0.6102791897978856,0.03309359071944415,-0.06368980441395306
-10.5,-0.5777660886041409,0.03274183860392966,-0.06793915564104172
-10.0,-0.5422642143734175,0.032540820219335076,-0.07258123171159714
-9.5,-0.503490130271956,0.03251774902603929,-0.07759221610874355
-9.0,-0.46139386985375286,0.032662868937291534,-0.0828292788417142
-8.5,-0.4168839136294219,0.03289405797431224,-0.0879875744057117
-8.0,-0.3719205881778458,0.03309739730112373,-0.09267183415658803
-7.499999999999999,-0.32792575245488986,0.033219977872007304,-0.09667691451971602
-7.0,-0.2847549003713825,0.03334578683331065,-0.09997593719412914
-6.5,-0.2413556227693124,0.033678207345384896,-0.10249069859648455
-6.000000000000001,-0.19717600117807163,0.03433093415992567,-0.1042155809642849
-5.5,-0.15276976285670535,0.035199661862396356,-0.1052920853025711
-5.0,-0.10872223453453042,0.036083226424070025,-0.10588647682699373
-4.5,-0.06499745309551755,0.03688144751297065,-0.10613480743871795
-4.0,-0.02099647532085347,0.03767739263175278,-0.10611381841212364
-3.5,0.024457855848814603,0.03862774992977199,-0.10586791799835252
-3.0000000000000004,0.07286126092829781,0.039865350029863994,-0.10546367099482691
-2.5,0.12527890688697238,0.04146826271770806,-0.10498990900651513
-2.0,0.1814892194569678,0.04341043847653839,-0.10455003845335217
-1.5000000000000002,0.23988140557668447,0.045455772889550175,-0.10431744547109044
-1.0,0.2983960136463014,0.047152156260004956,-0.1045222631981088
-0.5,0.3560877340345143,0.048024961416995464,-0.10524857887333738
0.0,0.4138948972795271,0.04796798599970592,-0.1063169273641941
0.5,0.47370396992693026,0.04752072372190272,-0.10738753368439999
1.0,0.535824860619519,0.0473169238021576,-0.10806413673144777
1.5000000000000002,0.5982738991269063,0.047521870733148154,-0.10803086114330357
2.0,0.6592530474808268,0.04800096080642697,-0.10731782134511987
2.5,0.7183176152389987,0.04838241064989875,-0.10644975331496569
3.0000000000000004,0.7746365397207988,0.04815995819224549,-0.10578301032053557
3.5,0.8267411635784715,0.047206458367453186,-0.10497162757214971
4.0,0.8746046722809633,0.04592470960447075,-0.10358830287872361
4.5,0.9187147806270595,0.04479300752869675,-0.10167194366392616
5.0,0.9601403393306088,0.0441136040744007,-0.0998177331531879
5.5,1.0007496652807222,0.04396979404501318,-0.09872996405316362
6.000000000000001,1.0413413196931254,0.04429830687469137,-0.09863664999819277
6.5,1.0811349873590332,0.04507518166277216,-0.09945226351998361
7.0,1.1195028321989586,0.046374319918248204,-0.10103829214203323
7.499999999999999,1.1572103349735015,0.04827499473489154,-0.10324286375695828
8.0,1.1958999735769038,0.05074088563111243,-0.10590724818317003
8.5,1.237174204666527,0.053584967053448014,-0.1088342229338729
9.0,1.2818732117625622,0.05649921618363428,-0.11170862939838505
9.5,1.3293712487333071,0.05922775604684981,-0.11413733035884624
10.0,1.3778507666197037,0.061731604723500255,-0.11589080151793979
10.5,1.425304734829121,0.06417219362730428,-0.11700689632248837
11.0,1.4698651214010876,0.06686139739725291,-0.11772106881594403
11.5,1.5095035873515261,0.0702821944296199,-0.1183675905562528
12.000000000000002,1.5423572864757764,0.07504192076831791,-0.11925378685332307
12.5,1.567606056227862,0.08168409459156774,-0.12053589007825717
13.0,1.5860548277414857,0.09050716982515358,-0.12216891829575308
13.5,1.599736203635951,0.10155667766338339,-0.12397894274784485
14.0,1.6108170646622273,0.11477068985905524,-0.12579703683501345
14.500000000000002,1.6208592147535443,0.13012584184730933,-0.12754433730486278
14.999999999999998,1.6308043259515848,0.14767416168054526,-0.12924114612091694
15.5,1.6412909857598408,0.1674773636330643,-0.13097558159335498
16.0,1.6528463829294635,0.1895121195699481,-0.13286116801783276
16.5,1.6657736039385223,0.21358503931592382,-0.13499701549612786
17.0,1.6799198292891853,0.23929252522529373,-0.13745479770672678
17.5,1.6948133374616345,0.2662367155491273,-0.14032226716497959
18.0,1.7102619650784006,0.29427007219554385,-0.14370672414114474
18.5,1.7265961929374103,0.3229918884778278,-0.14761040901929964
19.0,1.744321592905171,0.3512026901521076,-0.1518965602958795
19.5,1.7638116339345733,0.37709247848645505,-0.15637350372043848
20.0,1.785159911559191,0.39899820351011145,-0.1608649835350873
20.5,1.8080170903302721,0.4162275801459914,-0.16524765694697705
21.0,1.8315115083522024,0.4291973986628763,-0.16944096617085827
21.5,1.8542473490048397,0.4388572431393748,-0.17334674607392897
22.0,1.8741492954842092,0.4460988371398122,-0.176768112485114
22.5,1.888173874222979,0.45158571918054274,-0.17935035608114008
23.0,1.8925591368896197,0.4558713622934706,-0.18062453420241426
23.5,1.884433212089322,0.4595119355540672,-0.1802388502550571
24.000000000000004,1.863939333152163,0.4630732375997009,-0.17825119891589933
24.5,1.8344308527861282,0.46709239891653037,-0.1751529546296879
25.0,1.8004338898409533,0.47205418232538554,-0.17158909620226218
25.5,1.7656667950665723,0.47840517447060166,-0.16808957003212033
26.0,1.7324063281439226,0.4865886125836421,-0.16498584558465532
26.5,1.7017478645167876,0.4970572331591926,-0.16244685024587582
27.0,1.6740634743755898,0.5102339812182557,-0.16053706797671669
27.5,1.6493613647422976,0.5264272503094909,-0.1592581364154563
28.0,1.6275047710638653,0.5457432751992124,-0.15857323677213228
28.500000000000004,1.6083188953431804,0.5680456940461075,-0.15842248805829753
29.000000000000004,1.5916240921306914,0.5929830894084831,-0.15873447692727458
29.500000000000004,1.5772326795770581,0.6200654718542511,-0.15943504833686112
29.999999999999996,1.5649383053505233,0.6487520978539362,-0.16045310738861732
30.5,1.554512503759275,0.6785212723717103,-0.16172365624774152
31.0,1.545710708262086,0.7089115556881793,-0.1631889162499322
31.5,1.5382839627773581,0.7395378044389892,-0.16479845291480094
32.0,1.5319917552223685,0.7700906970881496,-0.16650891198982434
32.5,1.5266128415474398,0.8003278189438281,-0.1682836363088019
33.0,1.5219526457199308,0.8300618094671288,-0.1700922286319802
33.5,1.5178470606608325,0.8591486327760458,-0.17191005178344082
34.0,1.5141631594245193,0.8874773639306526,-0.17371765579724285
34.5,1.5107975971805565,0.9149619302565043,-0.17550014275619705
35.0,1.507673505383741,0.9415347711593852,-0.17724649794794148
35.5,1.5047365736685232,0.9671421753206372,-0.1789489232313214
36.0,1.5019508616797255,0.991740988695521,-0.18060220625842266
36.5,1.4992947267499623,1.0152963874903929,-0.18220315124651398
37.0,1.4967571156698092,1.0377804403210007,-0.18375008693244083
37.5,1.4943343579423622,1.0591712250289884,-0.18524245766178163
38.0,1.4920275148846813,1.079452309414086,-0.18668049566417758
