alpha,cl,cd,cm,cl_breukels,cd_breukels,cm_breukels
-0.6981317007977318,-0.9924321856892704,0.36667296347538925,0.008477539172528827,0.6330222215594888,-0.5311687126375895,-9.276312778617466
-0.6804574805243715,-0.9810741998536021,0.36018268585500746,0.007585301790016568,0.6153424163445296,-0.4980694109881914,-8.807890913414333
-0.6627832602510113,-0.9644713076596022,0.3506953188870074,0.006270974467172967,0.5969040154499681,-0.46592793684248185,-8.35147986526769
-0.6451090399776509,-0.9468330713560196,0.3406163267135316,0.004852035023255144,0.5777725827252488,-0.4347827824454261,-7.907079634177532
-0.6274348197042906,-0.929113924050633,0.33049109968188206,0.0033915960682221564,0.5580153223602629,-0.404668919340996,-7.474690220143871
-0.6097605994309303,-0.9113924050632911,0.320364517403401,0.0018884225600502018,0.5377008857962504,-0.37561771649724474,-7.0543116231667
-0.59208637915757,-0.8936708860759495,0.31023793512492004,0.00034239463327597576,0.5168991746662465,-0.3476568687771767,-6.64594384324602
-0.5744121588842097,-0.8759493670886076,0.30011135284643903,-0.0012394220309222682,0.49568114032023025,-0.32081033595125674,-6.249586880381826
-0.5567379386108494,-0.858227848101266,0.289984770567958,-0.0028439914680403015,0.47411858049971267,-0.2950982924177154,-5.865240734574126
-0.5390637183374891,-0.8405063291139241,0.27985818828947695,-0.004453451004474918,0.4522839337344755,-0.27053708776664476,-5.492905405822919
-0.5213894980641288,-0.8227848101265823,0.269731606010996,-0.006045036438083071,0.43025007204054494,-0.24713921829333135,-5.132580894128199
-0.5037152777907685,-0.8050632911392407,0.259605023732515,-0.007591601859810888,0.40809009250322936,-0.22491330953544206,-4.784267199489971
-0.4860410575174082,-0.7873417721518987,0.24947844145403397,-0.00906670448997923,0.3858771083321493,-0.2038641098776273,-4.447964321908232
-0.46836683724404793,-0.769620253164557,0.23935185917555296,-0.010454258750675644,0.36368403997663956,-0.18399249523594255,-4.123672261382986
-0.45069261697068763,-0.7518987341772153,0.22922527689707195,-0.011754214110194169,0.3415834068897013,-0.16529548480328968,-3.811391017914229
-0.4330183966973273,-0.7341772151898734,0.2190986946185909,-0.012976536724712329,0.3196471205268249,-0.1477662678059335,-3.511120591501963
-0.41534417642396704,-0.7164556962025317,0.2089721123401099,-0.014128364396276481,0.29794627916250244,-0.13139424119014742,-3.2228609821461895
-0.39766995615060674,-0.6987341772151898,0.19884553006162886,-0.01520458641380395,0.2765509651020994,-0.11616505812726803,-2.946612189846905
-0.3799957358772464,-0.6810126582278482,0.18871887595871917,-0.01618411203573558,0.2555300448599976,-0.10206068719498193,-2.6823742146041103
-0.3623215156038861,-0.6632911392405063,0.17858971242713717,-0.017027550120905566,0.2349509728665396,-0.08905948206261045,-2.4301470564178067
-0.3446472953305258,-0.6455696202531644,0.16842732868552673,-0.01767499271673361,-1.603873884580826,0.17301351947541008,-2.1899307152879945
-0.32697307505716555,-0.6278481012658228,0.15808538887949664,-0.018049235784321556,-1.7110485160331967,0.16000232852954238,-1.9617251912146731
-0.3092988547838052,-0.6101265822784809,0.1473327156967421,-0.018070096057045897,-1.7864939861240074,0.14767593710714141,-1.7455304841978416
-0.2916246345104449,-0.5924050632911393,0.13626568492365915,-0.017676359650001215,-1.8319979240670086,0.13603434520820715,-1.5413465942375006
-0.2739504142370846,-0.5746835443037974,0.12541194856394897,-0.01684296691005739,-1.8493479590759516,0.12507755283273964,-1.3491735213336509
-0.25627619396372436,-0.5569620253164558,0.11514771251222707,-0.015581037013813255,-1.840331720364588,0.11480555998073887,-1.169011265486292
-0.238601973690364,-0.5392405063291139,0.10556074176109606,-0.01391681827941514,-1.8067368371466692,0.10521836665220474,-1.0008598266954227
-0.22092775341700369,-0.521518987341772,0.09665834795602868,-0.011870861785247433,-1.7503509386359468,0.09631597284713736,-0.8447192049610441
-0.20325353314364342,-0.5037974683544303,0.08844075367442802,-0.009528160051607806,-1.6729616540461723,0.08809837856553673,-0.700589400283157
-0.18557931287028315,-0.48607594936708853,0.08090795891629411,-0.007201981746636849,-1.5763566125910968,0.08056558380740281,-0.5684704126617602
-0.1679050925969228,-0.4683544303797468,0.0740599636816269,-0.005115801996162057,-1.4623234434844714,0.0737175885727356,-0.4483622420968537
-0.15023087232356247,-0.450632911392405,0.06789676797042642,-0.0028443233166966673,-1.332649775940048,0.0675543928615351,-0.34026488858843795
-0.1325566520502022,-0.43291139240506327,0.06241837178269266,-3.6452051135127175e-05,-1.1891232391715783,0.06207599667380135,-0.2441783521365131
