alpha,beta,CL,CL_ci,CD,CD_ci,CS,CS_ci,CMx,CMx_ci,CMy,CMy_ci,CMz,CMz_ci
7.4,-19.9239831272398,0.6331154168109877,0.009726209786985176,0.17371294095859668,0.009182800717670563,-0.16670549624491648,0.006746875836130389,-0.2122163330349824,0.01916491353737652,-0.034218937699785686,0.02486701000214285,0.15195802802498856,0.019101845225026975
7.4,-13.931300719845,0.6764304451886104,0.00943754793854322,0.12763219737642628,0.008464474526583077,-0.1506579680807896,0.008770438579244637,-0.19115290376955446,0.026373614401007092,0.03904853977672837,0.028003499264573795,0.13693505509236475,0.02374577621789583
7.4,-11.940938168294595,0.6869486888916979,0.010910792784959742,0.11607369817533245,0.009754155089263472,-0.12952298096559026,0.009973477260409142,-0.16832353052695567,0.028468862451389063,0.07134297839671859,0.031199031331547056,0.14932512528058334,0.026317828949539344
7.4,-9.932871625891002,0.6995780774680815,0.009862816729389715,0.10726208617534666,0.008684350841707813,-0.1472129609074641,0.00933452854771425,-0.17995919458632578,0.02939613455346742,0.09246660621002044,0.027559707401687703,0.09427284587431575,0.026713288298543802
7.4,-7.926345868993538,0.7040802576929174,0.008836147724992024,0.06617589716708529,0.010019013317634004,-0.16152398821579572,0.009516869276370759,-0.17027576200495848,0.02742950542216905,0.12590971688912186,0.02954141980508131,0.04364129729395696,0.02250370592372319
7.4,-5.94578447845735,0.7215788504021704,0.009525120894749602,0.07734686205428888,0.00882116675306561,-0.11889499126668068,0.009102552608680948,-0.11408405629638385,0.028188043309416735,0.1007860510426765,0.030089804902731106,0.05773978163491266,0.023146016009967133
7.4,-3.963689405191088,0.7312079067680218,0.010287333769808633,0.08867507496360275,0.01153348673516871,-0.07962937051702774,0.009145596888956775,-0.0792019686837134,0.029565667584410805,0.06773149386095928,0.03323114710271738,0.05517952137592574,0.024225124100846807
7.4,-1.9836716241711303,0.7342260913807785,0.009957547604511598,0.0745670374623019,0.009980192955471314,-0.03580823436412595,0.009295878497760613,-0.050310704466577406,0.03006354769854949,0.09146845012572617,0.03334461374771776,0.06031007166037653,0.0250116952474219
7.4,0.005556908631629192,0.743995289316961,0.00946575579590553,0.090071262596569,0.009633459705925497,-0.012186336761651316,0.008899862430882434,-0.030810595440715263,0.026656226867351553,0.05016550706712872,0.030839598567949735,0.01931174995599558,0.02299038974941514
7.4,2.000326247672453,0.7339782285866455,0.00986706724976011,0.07373858296836683,0.008123559165256306,-0.0007154632670383058,0.012096747107211162,-0.022624250984239803,0.04057904158911509,0.0974634863660147,0.030096093368253387,-0.0651365780374236,0.03204147660509081
7.4,3.9834197544590353,0.7207969517791939,0.00980298034825286,0.07703164284001551,0.008362597111855916,0.036360586280473506,0.01040113797653662,0.006284422442730966,0.030929726608882744,0.11351133490377342,0.02985352617739212,-0.07630126981432593,0.026138180545976355
7.4,5.95841652211645,0.7107523817658643,0.009716208458656431,0.08453703691337176,0.009706849960957095,0.09119283738538685,0.009852101729020348,0.04804439118023469,0.031019788477203394,0.10762487991060814,0.030665257223672075,-0.042438494458023314,0.02660282607625325
7.4,7.938692978759559,0.6891803343495115,0.008314101858238474,0.0757618228706051,0.006859126813720806,0.1344466962147406,0.008790330639600961,0.10433101955651701,0.025707363323254316,0.1427669050051476,0.02517042833717626,-0.030449715039312084,0.0223519242517593
7.4,9.937523170258753,0.6692278063378148,0.00849412849931751,0.060316739529938435,0.00770206786256438,0.1370120938634104,0.007691709688046926,0.11447928011327455,0.02307304885676891,0.15348636329966842,0.0259855061451968,-0.08269006667216974,0.02012671621701072
7.4,11.933571973871455,0.6730935855010273,0.010074072998692991,0.08209944264464793,0.008590792343136519,0.14567709323248093,0.009265704467507876,0.11292014941679081,0.028152621008716957,0.10730757049225194,0.032241720780795506,-0.1179943351800588,0.02482064779232699
7.4,13.94419788924571,0.6603116355962779,0.009246099577927703,0.12546034480841603,0.006557168572620808,0.1223743917242268,0.007964601163419514,0.1323889846408958,0.02477888017124643,0.07338892539252781,0.029031394753485342,-0.15471427559761158,0.022468379460809235
7.4,19.930288481998378,0.5952897756124622,0.008234734043883467,0.15895396593814243,0.007126138849860911,0.15287781226027397,0.0075326960116639825,0.19294318142331943,0.020660548257986733,0.04303474657882242,0.024589143965772935,-0.1695960181011236,0.020019047943416267
