CL,CL_ci,CD,CD_ci,alpha
-0.2803583079512737,0.011070533538875901,0.0974039043962641,0.012935833343569323,-11.568062258844899
-0.21347305326969063,0.012287227041809057,0.07218870589963904,0.015525099307051884,-6.099538727239071
0.00028486335558798777,0.010685085643088748,0.05263217412355902,0.007669641679091843,-2.000134057834593
0.07497801236885353,0.009531594171135875,0.06093075335659457,0.00888993735098092,-1.335284952532832
0.46525278172076223,0.0094757070604728,0.0563828596882413,0.009084813214799278,3.0810501799110823
0.6107741641630251,0.0045250228316688484,0.07643073888381645,0.004621703908615234,5.412567235248224
0.743995289316961,0.00946575579590553,0.090071262596569,0.009633459705925497,7.349872840866281
0.8884660128928862,0.010638047578235612,0.1065037558216006,0.0090052606389443,9.381884340468558
0.9267585987938108,0.014238431399063755,0.18025308165943085,0.015071236194533226,11.463863696373238
0.9338668209191546,0.01587750602832439,0.19296162378225148,0.016936888197483277,12.460518538608163
0.9522883884515165,0.014573344990978981,0.2165290220630428,0.018047064116565297,13.351849275241163
0.977971067542503,0.018103047941433945,0.2310970344116886,0.020463746781346298,14.539762903730228
1.009133281033529,0.01665884731370474,0.24651190060635628,0.01837824187986194,16.225097841412495
1.0681034642531926,0.015490003833879091,0.31991919738196595,0.02298889264565518,18.29734623730859
1.0093210964474917,0.015447658557709798,0.3549012522775393,0.015144695558409575,20.225009454727424
0.9960286077377416,0.011811121286340615,0.41308019199532053,0.011605232781628292,23.03126495308419
0.972183590251898,0.013017296036276401,0.4251915674137536,0.012174905688423181,24.542486513693095
