CL,CL_ci,CD,CD_ci,CS,CS_ci,beta
0.6331154168109877,0.009726209786985176,0.17371294095859668,0.009182800717670563,-0.16670549624491648,0.006746875836130389,-19.9239831272398
0.6764304451886104,0.00943754793854322,0.12763219737642628,0.008464474526583077,-0.1506579680807896,0.008770438579244637,-13.931300719845
0.6869486888916979,0.010910792784959742,0.11607369817533245,0.009754155089263472,-0.12952298096559026,0.009973477260409142,-11.940938168294595
0.6995780774680815,0.009862816729389715,0.10726208617534666,0.008684350841707813,-0.1472129609074641,0.00933452854771425,-9.932871625891002
0.7040802576929174,0.008836147724992024,0.06617589716708529,0.010019013317634004,-0.16152398821579572,0.009516869276370759,-7.926345868993538
0.7215788504021704,0.009525120894749602,0.07734686205428888,0.00882116675306561,-0.11889499126668068,0.009102552608680948,-5.94578447845735
0.7312079067680218,0.010287333769808633,0.08867507496360275,0.01153348673516871,-0.07962937051702774,0.009145596888956775,-3.963689405191088
0.7342260913807785,0.009957547604511598,0.0745670374623019,0.009980192955471314,-0.03580823436412595,0.009295878497760613,-1.9836716241711303
0.743995289316961,0.00946575579590553,0.090071262596569,0.009633459705925497,-0.012186336761651316,0.008899862430882434,0.005556908631629192
0.7339782285866455,0.00986706724976011,0.07373858296836683,0.008123559165256306,-0.0007154632670383058,0.012096747107211162,2.000326247672453
0.7207969517791939,0.00980298034825286,0.07703164284001551,0.008362597111855916,0.036360586280473506,0.01040113797653662,3.9834197544590353
0.7107523817658643,0.009716208458656431,0.08453703691337176,0.009706849960957095,0.09119283738538685,0.009852101729020348,5.95841652211645
0.6891803343495115,0.008314101858238474,0.0757618228706051,0.006859126813720806,0.1344466962147406,0.008790330639600961,7.938692978759559
0.6692278063378148,0.00849412849931751,0.060316739529938435,0.00770206786256438,0.1370120938634104,0.007691709688046926,9.937523170258753
0.6730935855010273,0.010074072998692991,0.08209944264464793,0.008590792343136519,0.14567709323248093,0.009265704467507876,11.933571973871455
0.6603116355962779,0.009246099577927703,0.12546034480841603,0.006557168572620808,0.1223743917242268,0.007964601163419514,13.94419788924571
0.5952897756124622,0.008234734043883467,0.15895396593814243,0.007126138849860911,0.15287781226027397,0.0075326960116639825,19.930288481998378
