alpha,beta,CL,CD,CS,CMx,CMy,CMz
13.02,0,1.049472106225422,0.1109605616360219,2.4385142992888863e-05,0.0002462075273015,-0.3256966363266202,-0.000111600945403
13.02,4,1.034347132862086,0.1187231349047993,-0.040581606940825916,-0.0989628231010319,-0.3252096762447942,-0.0635164012620871
13.02,8,0.9946801617025854,0.1413864496187794,-0.07900689629021146,-0.1933768769462073,-0.3261046083196199,-0.1265382345550858
13.02,12,0.9328481343698932,0.1769306090870539,-0.11428499995717821,-0.2874548226069351,-0.3295173645788699,-0.1855631093369855
