alpha,CL,CD
-5,-0.133333333,0.0728
-4,-0.066666667,0.0672
-2,0.073015873,0.0552
0,0.225396825,0.051
2,0.384126984,0.052
3,0.46031746,0.0536
4,0.536507937,0.06
6,0.673015873,0.07
8,0.803174603,0.075
9,0.873015873,0.085
10,0.93015873,0.09
12,1.041269841,0.115
14,1.146031746,0.135
16,1.24,0.151
18,1.342857143,0.171
20,0.88,0.31
22,0.91,0.34
24,0.93,0.38
