alpha,Cd,Cs,Cl,CmRoll,CmPitch,CmYaw,Cd(f),Cd(r),Cs(f),Cs(r),Cl(f),Cl(r),xcp,Ux_final,Uy_final,k_final,p_final,omega_final,Iter,yplus_max
-10.0,0.1173361087348235,-5.7736750521880425e-22,-0.3582621464079576,0.3582621464079576,0.0656443151844469,0.1173361087348235,0.4169302007753695,-0.2995940920405459,0.1173361087348235,-0.1173361087348235,-0.1134867580195318,-0.2447753883884257,0.425898380065,7.743854025684318e-09,5.74204800959567e-08,2.8801780648909085e-10,7.63916118949668e-08,1.899986759124488e-12,836,0.227765373655907
-5.0,0.0633664616361249,-4.517248379606235e-22,-0.2105827073575624,0.2105827073575624,0.0658784711959661,0.0633664616361249,0.2422659381756249,-0.1788994765394999,0.0633664616361249,-0.0633664616361249,-0.039412882482815,-0.1711698248747473,0.555978672716,5.298512636076987e-09,3.106724314784249e-08,4.1618405826004476e-10,4.385453106549533e-08,3.85152552156087e-12,498,0.1996339009123634
-2.0,0.0653824165382846,-1.201656088616491e-21,-0.3697460466371356,0.3697460466371356,0.0839607440722936,0.0653824165382846,0.4024372549062778,-0.3370548383679932,0.0653824165382846,-0.0653824165382846,-0.1009122792462741,-0.2688337673908614,0.475820743004,1.519847546471348e-09,3.4304495420702435e-08,9.021338406515636e-10,4.675245525561159e-08,1.4836266345731501e-12,503,0.2192007208161069
0.0,0.04446849891007,-8.677157345372933e-22,-0.0305475136325313,0.0305475136325313,0.0169962198393114,0.04446849891007,0.0527817630875663,-0.0083132641774962,0.04446849891007,-0.04446849891007,0.0017224630230458,-0.0322699766555771,0.806386357455,2.683489520870785e-09,2.4117714693560407e-08,2.6136585954272955e-10,3.2853266351137795e-08,1.823630797805025e-12,375,0.2450903982991125
2.0,0.0310278312828739,-1.3137269658850109e-22,0.3360924145276756,-0.3360924145276756,-0.0295371408936691,0.0310278312828739,-0.3205784988862387,0.3516063301691126,0.0310278312828739,-0.0310278312828739,0.1385090663701687,0.1975833481575069,0.337654967143,4.0788037848529565e-09,2.1912369012011463e-08,7.267690466446922e-10,1.4577563283486321e-08,1.3271642198866013e-12,377,0.3177118489306608
6.0,0.0210108953260652,1.247866282613894e-21,0.8888052838980895,-0.8888052838980895,-0.0525910239533614,0.0210108953260652,-0.8782998362350569,0.8993107315611224,0.0210108953260652,-0.0210108953260652,0.3918116179956833,0.4969936659024062,0.309348935806,1.6111099099275173e-08,3.063865638591058e-08,2.2337741754077895e-10,1.005934355551189e-08,9.774866691658824e-13,428,0.4620096809584733
10.0,0.0303445355664737,1.8412696929285936e-21,1.2397493262488704,-1.2397493262488706,-0.0500407809295257,0.0303445355664737,-1.2245770584656337,1.2549215940321077,0.0303445355664737,-0.0303445355664737,0.5698338821949094,0.669915444053961,0.290810172086,1.7910459402106833e-08,2.6823755656842423e-08,3.799901601245096e-10,5.8465835682287055e-09,1.568996857713553e-12,438,0.5913596149019384
12.0,0.0602851392310085,2.185024866866055e-21,1.27383583783376,-1.27383583783376,-0.0727143858285956,0.0602851392310085,-1.2436932682182558,1.3039784074492642,0.0602851392310085,-0.0602851392310085,0.5642035330882844,0.7096323047454756,0.307777078244,4.517160870566052e-09,2.558075939374682e-08,4.4898069476897996e-10,3.8742131277296135e-09,1.496335058263801e-12,468,0.6108884834760904
14.0,0.1562201522196095,2.509153076077001e-21,0.9741670227371588,-0.9741670227371588,-0.1304971034370324,0.1562201522196095,-0.8960569466273539,1.0522770988469634,0.1562201522196095,-0.1562201522196095,0.356586407931547,0.6175806148056118,0.382750790482,3.757733079665567e-09,2.7098087459560912e-08,9.561786267598996e-10,2.445541802750218e-08,1.378383660175521e-12,946,0.4596319034882032
16.0,0.216283845752974,2.606869613814061e-21,0.8990320348445507,-0.8990320348445507,-0.1475532163263107,0.2162838457529739,-0.7908901119680638,1.007173957721038,0.2162838457529739,-0.2162838457529739,0.3019628010959646,0.5970692337485861,0.409720575499,5.9093087712059845e-09,2.413215778179174e-08,3.1888422079119957e-10,7.644357519625102e-08,1.3913164824844899e-12,1466,0.3864408215069206
