alpha,cl,cd,cm,cl_breukels,cd_breukels,cm_breukels
-0.6981317007977318,-0.9924321856892704,0.37635042840803673,0.0084775391725288,0.6330222215594888,-0.5311687126375895,-7.634297781729979
-0.6804574805243715,-0.981074199853602,0.36986015078765494,0.0075853017900165,0.6153424163445296,-0.4980694109881914,-7.248484177677357
-0.6627832602510113,-0.9644713076596022,0.36037278381965493,0.0062709744671729,0.5969040154499681,-0.4659279368424818,-6.872563230138903
-0.6451090399776509,-0.9468330713560196,0.35029379164617913,0.0048520350232551,0.5777725827252488,-0.4347827824454261,-6.506534939114619
-0.6274348197042906,-0.929113924050633,0.3401685646145296,0.0033915960682221,0.5580153223602629,-0.404668919340996,-6.150399304604507
-0.6097605994309303,-0.9113924050632912,0.3300419823360486,0.0018884225600502,0.5377008857962504,-0.3756177164972447,-5.804156326608563
-0.59208637915757,-0.8936708860759495,0.3199154000575676,0.0003423946332759,0.5168991746662465,-0.3476568687771767,-5.467806005126791
-0.5744121588842097,-0.8759493670886076,0.30978881777908657,-0.0012394220309222,0.4956811403202302,-0.3208103359512567,-5.141348340159185
-0.5567379386108494,-0.858227848101266,0.2996622355006055,-0.0028439914680403,0.4741185804997126,-0.2950982924177154,-4.824783331705751
-0.5390637183374891,-0.8405063291139241,0.2895356532221245,-0.0044534510044749,0.4522839337344755,-0.2705370877666447,-4.518110979766488
-0.5213894980641288,-0.8227848101265823,0.2794090709436434,-0.006045036438083,0.4302500720405449,-0.2471392182933313,-4.221331284341392
-0.5037152777907685,-0.8050632911392407,0.26928248866516247,-0.0075916018598108,0.4080900925032293,-0.224913309535442,-3.934444245430469
-0.4860410575174082,-0.7873417721518987,0.25915590638668146,-0.0090667044899792,0.3858771083321493,-0.2038641098776273,-3.657449863033713
-0.4683668372440479,-0.769620253164557,0.24902932410820044,-0.0104542587506756,0.3636840399766395,-0.1839924952359425,-3.3903481371511286
-0.4506926169706876,-0.7518987341772153,0.2389027418297194,-0.0117542141101941,0.3415834068897013,-0.1652954848032896,-3.1331390677827127
-0.4330183966973273,-0.7341772151898734,0.2287761595512384,-0.0129765367247123,0.3196471205268249,-0.1477662678059335,-2.885822654928467
-0.415344176423967,-0.7164556962025317,0.2186495772727574,-0.0141283643962764,0.2979462791625024,-0.1313942411901474,-2.648398898588393
-0.3976699561506067,-0.6987341772151898,0.2085229949942764,-0.0152045864138039,0.2765509651020994,-0.116165058127268,-2.4208677987624867
-0.3799957358772464,-0.6810126582278482,0.19839628438977194,-0.0161841120357355,0.2555300448599976,-0.1020606871949819,-2.20322935545075
-0.3623215156038861,-0.6632911392405063,0.1882650517482755,-0.0170275501209055,0.2349509728665396,-0.0890594820626104,-1.9954835686531838
-0.3446472953305258,-0.6455696202531644,0.1780731292638149,-0.0176749927167336,-1.3808765484094963,0.185489400158188,-1.7976304383697879
-0.3269730750571655,-0.6278481012658228,0.16754279257358357,-0.0180492357843215,-1.5256874988983944,0.1708243860063412,-1.6096699646005617
-0.3092988547838052,-0.6101265822784809,0.15618249389376995,-0.0180700960570458,-1.6348781102861893,0.15693121470459148,-1.4316021473455045
-0.2916246345104449,-0.5924050632911392,0.14400993696989983,-0.0176763596500012,-1.7104387757555934,0.14380988625293906,-1.2634269866046175
-0.2739504142370846,-0.5746835443037974,0.13183286772284636,-0.0168429669100573,-1.7543598884893181,0.13146040065138387,-1.1051444823779009
-0.2562761939637243,-0.5569620253164558,0.1202682757796269,-0.0155810370138132,-1.7686318416700755,0.11988275789992585,-0.9567546346653539
-0.238601973690364,-0.5392405063291139,0.10946285163720425,-0.0139168182794151,-1.7552450284805792,0.10907695799856501,-0.818257443466976
-0.2209277534170036,-0.521518987341772,0.09942889458594059,-0.0118708617852474,-1.7161898421035402,0.09904300094730134,-0.6896529087827683
-0.2032535331436434,-0.5037974683544304,0.0901667803847742,-0.0095281600516078,-1.6534566757216715,0.08978088674613499,-0.5709410306127307
-0.1855793128702831,-0.4860759493670885,0.081676509033705,-0.0072019817466368,-1.569035922517685,0.08129061539506574,-0.46212180895686295
-0.1679050925969228,-0.4683544303797468,0.073958080532733,-0.005115801996162,-1.4649179756742932,0.0735721868940937,-0.3631952438151646
-0.1502308723235624,-0.450632911392405,0.06701149488185815,-0.0028443233166966,-1.3430932283742076,0.0666256012432189,-0.2741613351876362
-0.1325566520502022,-0.4329113924050632,0.06083675208108055,-3.6452051135127175e-05,-1.2055520738001415,0.0604508584424413,-0.19502008307427784
-0.1148824317768419,-0.4151898734177215,0.05543385213040015,0.0029919492018114,-1.0542849051348069,0.055047958491760904,-0.12577148747508926
-0.0972082115034816,-0.3974683544303798,0.05080279502981695,0.006003541153387,-0.8912821155609159,0.050416901391177646,-0.0664155483900704
-0.0795339912301212,-0.3797014717937503,0.046943580779330904,0.0090236169944129,-0.7185340982611794,0.04655768714069165,-0.016952265819221102
-0.061859770956761,-0.3604544423485261,0.0438562093789421,0.0122099778382917,-0.5380312464183123,0.04347031574030285,0.02261836023745795
-0.0441855506834007,-0.32363825611055874,0.04154068082865055,0.0158793411065314,-0.35176395321502535,0.04115478719001125,0.05229632977996735
-0.0265113304100403,-0.21372508698351245,0.0399969951284561,0.020398215042288,-0.1617226118340298,0.03961110148981685,0.07208164280830705
-0.00883711013668,-0.008664152721951451,0.0392251522783589,0.0260914347570684,0.03010238454195955,0.038839258639719654,0.0819742993224768
0.0088371101366801,0.2117778142349404,0.0392251522783589,0.0333965458036218,0.2217206427302319,0.038839258639719654,0.08197429932247674
