alpha,cl,cd,cm,cl_new,cd_new,cm_new,cl_breukels,cd_breukels,cm_breukels,cl_neuralfoil,cd_neuralfoil,cm_neuralfoil
-0.6981317007977318,-1.1330171872830104,0.344538861307326,0.17601123631647164,-1.1360688851427674,0.34582279686626555,0.17601123631647164,0.6330222215594888,-0.5311687126375895,-8.12195900676635,-1.1360688851427674,0.34582279686626555,0.17601123631647164
-0.6806784082777885,-1.1248067428177504,0.3421023797966738,0.17330044662085797,-1.1277858832564256,0.34336925792828465,0.17330044662085797,0.6155682305982587,-0.4984773244805721,-7.716625274085924,-1.1277858832564256,0.34336925792828465,0.17330044662085797
-0.6632251157578453,-1.1150945958193228,0.33904527238560134,0.1702768272162322,-1.1180175160656562,0.34027805538860256,0.1702768272162322,0.5973736983412611,-0.466719484167187,-7.3215531548910775,-1.1180175160656562,0.34027805538860256,0.1702768272162322
-0.6457718232379019,-1.1039118223117756,0.3353830078262185,0.1669590404521101,-1.1067909752216476,0.33656685428438393,0.1669590404521101,0.5785017297962965,-0.4359323214794715,-6.936742649181811,-1.1067909752216476,0.33656685428438393,0.1669590404521101
-0.6283185307179586,-1.0912848024075812,0.33113922807339596,0.16336794443524905,-1.094126743868248,0.3322604456815132,0.16336794443524905,0.5590169943749475,-0.4061496202911329,-6.562193756958125,-1.094126743868248,0.3322604456815132,0.16336794443524905
-0.6108652381980153,-1.0772385810328582,0.32634551584882077,0.15952648424991425,-1.0800413319287894,0.32739007536714526,0.15952648424991425,0.5389855446957562,-0.3774017413820349,-6.19790647822002,-1.0800413319287894,0.32739007536714526,0.15952648424991425
-0.5934119456780721,-1.0618009772093087,0.32104167722000954,0.1554595732447942,-1.064551420698895,0.3219935692673348,0.1554595732447942,0.5184746316864006,-0.3497155548392175,-5.843880812967495,-1.064551420698895,0.3219935692673348,0.1554595732447942
-0.5759586531581288,-1.0450061825770147,0.31527647035480977,0.15119370361215662,-1.0476797458134064,0.31611633859650734,0.15119370361215662,0.4975525164928275,-0.3231143822249717,-5.500116761200551,-1.0476797458134064,0.31611633859650734,0.15119370361215662
-0.5585053606381855,-1.0268958189859096,0.30910816359387816,0.14675588782279508,-1.0294623336333641,0.30981327235625855,0.14675588782279508,0.4762882797120396,-0.2976179486656706,-5.1666143229191865,-1.0294623336333641,0.30981327235625855,0.14675588782279508
-0.5410520681182421,-1.007516617870457,0.3026037228745687,0.1421715850734961,-1.009954289300809,0.3031511849869236,0.1421715850734961,0.454751628472528,-0.2732423449877943,-4.843373498123404,-1.009954289300809,0.3031511849869236,0.1421715850734961
-0.5235987755982988,-0.9869166797138931,0.2958353578454205,0.13746178586062363,-0.9892274127955899,0.29621040622798545,0.13746178586062363,0.4330127018922192,-0.2499999999999999,-4.530394286813198,-0.9892274127955899,0.29621040622798545,0.13746178586062363
-0.5061454830783556,-0.965142632671484,0.2888739929362249,0.13264017605293338,-0.9673541987305144,0.28908229835499205,0.13264017605293338,0.411141875448226,-0.2278996629922186,-4.227676688988578,-0.9673541987305144,0.28908229835499205,0.13264017605293338
-0.4886921905584123,-0.9422373337939156,0.2817807015456967,0.12771113809617463,-0.9443869241206214,0.2818589903319796,0.12771113809617463,0.3892095647956368,-0.2069463964946995,-3.9352207046495353,-0.9443869241206214,0.2818589903319796,0.12771113809617463
-0.4712388980384689,-0.9182360871873836,0.27459805100449625,0.12266819029434345,-0.9203518536029459,0.2746150140632968,0.12266819029434345,0.3672860295740685,-0.1871415793117512,-3.6530263337960727,-0.9203518536029459,0.2746150140632968,0.12266819029434345
-0.4537856055185257,-0.8931594866861464,0.26734322985884895,0.11749304213577905,-0.8952614165165428,0.2673867842321382,0.11749304213577905,0.3454411777407038,-0.1684829198167133,-3.381093576428192,-0.8952614165165428,0.2673867842321382,0.11749304213577905
-0.4363323129985824,-0.8670043256636575,0.2600052205274293,0.11215966617118539,-0.8691252414903861,0.26016023262256094,0.11215966617118539,0.3237443709670646,-0.150964479466515,-3.1194224325458904,-0.8691252414903861,0.26016023262256094,0.11215966617118539
-0.4188790204786391,-0.8397400372977645,0.252549205957829,0.10664912762266604,-0.8419455630550842,0.252872631198521,0.10664912762266604,0.3022642316338267,-0.1345767064661235,-2.8680129021491707,-0.8419455630550842,0.252872631198521,0.10664912762266604
-0.4014257279586958,-0.8113155577376224,0.2449293730431391,0.10096923740899386,-0.8136912092869305,0.24542665820845438,0.10096923740899386,0.28106845195357,-0.1193064794853097,-2.62686498523803,-0.8136912092869305,0.24542665820845438,0.10096923740899386
-0.3839724354387525,-0.7816710678722876,0.23625723736100274,0.0951613866001493,-0.7842680715730912,0.23771623303505418,0.0951613866001493,0.2602236057454936,-0.1051371613025675,-2.3959786818124704,-0.7842680715730912,0.23771623303505418,0.0951613866001493
-0.3665191429188092,-0.7507464879333051,0.22653255916547965,0.08928848353719684,-0.7535369055593707,0.22966688834477725,0.08928848353719684,0.2397949633788274,-0.0920486622237664,-2.175353991872491,-0.7535369055593707,0.22966688834477725,0.08928848353719684
-0.3490658503988659,-0.7184851317178389,0.21576405985863595,0.0834152164790812,-0.7213804966819517,0.22127618366046775,0.0834152164790812,-1.4194953204853373,0.18108996877937655,-1.9649909154180922,-0.7213804966819517,0.22127618366046775,0.0834152164790812
-0.3316125578789226,-0.6848369677907813,0.20397436394990398,0.07759211534115351,-0.6877499874591991,0.20668183445718355,0.07759211534115351,-1.5582352418604233,0.16734152274964895,-1.764889452449274,-0.6877499874591991,0.2126149744855289,0.07759211534115351
-0.3141592653589793,-0.6497641233017005,0.1912012503226172,0.07184909909159065,-0.652653181917509,0.1920874852538994,0.07184909909159065,-1.6631226449195533,0.15429812523426634,-1.575049602966036,-0.652653181917509,0.2037787745027079,0.07184909909159065
-0.296705972839036,-0.6126779251521557,0.17749313605061512,0.06619916374699164,-0.6161160695468206,0.17749313605061512,0.06619916374699164,-1.736003207967673,0.14195977623322875,-1.3954713669683785,-0.6161160695468206,0.1948352020043997,0.06619916374699164
