alpha,Cl,Cd,Cm
-14.999999999999998,-1.0845109390215115,0.06495914365932999,-0.011159641217064926
-14.500000000000002,-1.065951191636454,0.061123456586423375,-0.01832812048160478
-14.0,-1.0447117742902787,0.05737079928828798,-0.025733601690298178
-13.5,-1.0211972663612845,0.05348696383667931,-0.033457249588935194
-13.0,-0.9944140779306874,0.04949466022428801,-0.04138584277111057
-12.5,-0.9614018375668936,0.045791999073035626,-0.04904334832015119
-12.000000000000002,-0.9192062452607496,0.04280705057173466,-0.05583324825217644
-11.5,-0.8671441018001876,0.04058843444474048,-0.06147264975658084
-11.0,-0.8068150689290279,0.038851176442661436,-0.06592786734109496
-10.5,-0.7424699583872212,0.037183396483138245,-0.06910738705127625
-10.0,-0.6811660826590894,0.03519929906893389,-0.0707805458610103
-9.5,-0.6287603092474058,0.0327685743081193,-0.0707873442392543
-9.0,-0.5850948740323361,0.03008707874320699,-0.06944578966099568
-8.5,-0.5463826867019619,0.027412583501422345,-0.06736666886330098
-8.0,-0.5095224179643049,0.024915736034665383,-0.06500516080503926
-7.499999999999999,-0.47348930984702076,0.022650560485445954,-0.06258454558168348
-7.0,-0.43851284313234895,0.020598688137341968,-0.06019872306143683
-6.5,-0.4041867685123597,0.018770080975677932,-0.057960240379839684
-6.000000000000001,-0.36933283485517643,0.017196707983125493,-0.05600401499524543
-5.5,-0.33316630213799553,0.01584539709189885,-0.054429464690703186
-5.0,-0.2950197769852839,0.014670459126560991,-0.053282553172662346
-4.5,-0.25390133071317955,0.013671583474148352,-0.05252842135108422
-4.0,-0.20853278473415374,0.012857694892506674,-0.05218501979409325
-3.5,-0.1587965383766459,0.012214970862656322,-0.05237106687817112
-3.0000000000000004,-0.1069757970279138,0.011695957123799035,-0.05290878276955825
-2.5,-0.05554654165324291,0.011262931334234937,-0.0534679958706006
-2.0,-0.005282396813711565,0.010916856538588088,-0.05385897893103795
-1.5000000000000002,0.04424329089636142,0.01069289144878154,-0.05402084810419778
-1.0,0.09344396136604585,0.010633460908764289,-0.05392073563768217
-0.5,0.14197177497357782,0.010742621756233691,-0.053447486818837486
0.0,0.18926880313804545,0.010971981586462707,-0.05241846152715326
0.5,0.2348661803545316,0.011266045645888314,-0.05074718202754343
1.0,0.2785679598292488,0.011601719194732515,-0.048579417172522156
1.5000000000000002,0.3205407937256457,0.011974506759283528,-0.04604685287480022
2.0,0.3613626780747232,0.012348122714793758,-0.042972805037259074
2.5,0.4025092931085101,0.012652966820511737,-0.03904972988094271
3.0000000000000004,0.44601309260269895,0.012927554175229153,-0.03436010459029786
3.5,0.49365594311221633,0.013312436460757329,-0.029451022146701453
4.0,0.5451713058663699,0.013863619947893929,-0.024662665062881294
4.5,0.5981688877928348,0.014544385578499285,-0.01999203674537195
5.0,0.650340365189901,0.015275318934183112,-0.015466280657998863
5.5,0.700953831337869,0.01599002763254106,-0.01131173420730953
6.000000000000001,0.7505312640345299,0.01667140080726667,-0.007856157446610303
6.5,0.7999059269158345,0.01733368399208186,-0.00531046498100342
7.0,0.8496382660393174,0.018024679908051545,-0.003675953500956992
7.499999999999999,0.8996353302886996,0.018838274247413526,-0.0028454734919581546
8.0,0.9484148855334671,0.01993124315451451,-0.0028491104456009244
8.5,0.9917088772496306,0.021629703635752135,-0.0040180187595146985
9.0,1.023174998632794,0.024504120551218322,-0.00691928260982252
9.5,1.0410247155239358,0.02899343184878767,-0.011864907059811608
10.0,1.051380620655127,0.03486130018627556,-0.01836902126715836
10.5,1.0605546945640294,0.041494433819802876,-0.025517151376790875
11.0,1.0707235259910077,0.04846485135939505,-0.032587446959125015
11.5,1.081727137749588,0.05567793146549945,-0.03923042759324594
12.000000000000002,1.093014459796579,0.06320675093751459,-0.045345171340638986
12.5,1.1042674279105364,0.07112219348374627,-0.050940789200364316
13.0,1.1154953040704976,0.07944389874162178,-0.05609711632582589
13.5,1.1269600794901606,0.08814825037404558,-0.06094939848792726
14.0,1.1388872134932466,0.09720254665695341,-0.06563888272356241
14.500000000000002,1.1512792154137186,0.10659837851541021,-0.07027832104957488
14.999999999999998,1.1639628739458407,0.11636410572095061,-0.07495288256145494
15.5,1.1767184980574288,0.12655716496471886,-0.07973160690617183
16.0,1.18937960545193,0.13723693376008367,-0.08467113249456129
16.5,1.2018766832446077,0.1484204193553246,-0.08980661606484046
17.0,1.214228723966813,0.16003937339592905,-0.09513417363841062
17.5,1.2264933297063245,0.17193560534242228,-0.10060102563185747
18.0,1.238740088700319,0.1838929410240807,-0.10612065127131973
18.5,1.251102425578312,0.19565457054974691,-0.11160666324139314
19.0,1.2638164427741387,0.2069361547974098,-0.11700105760695993
19.5,1.2771610489458805,0.21748558650043257,-0.12228381925988063
20.0,1.2913550228795272,0.22716876902591285,-0.127466948654404
20.5,1.3064843748195853,0.2360161806273406,-0.13257958298222183
21.0,1.3224752536726583,0.24419659353068005,-0.13764979763783067
21.5,1.3391011773849555,0.2519411848864042,-0.14268930700541743
22.0,1.3560123526388805,0.25947159082271654,-0.14768664780168006
22.5,1.3727786667667927,0.2669677792360149,-0.15261034746820415
23.0,1.3889425121047827,0.2745722313235115,-0.15741895758526414
23.5,1.404079304603311,0.2824052369090776,-0.16207293182046922
24.000000000000004,1.417859562473487,0.2905718524597811,-0.1665441781208233
24.5,1.4300995603748619,0.2991578153524813,-0.17082100100059477
25.0,1.4407850299078095,0.3082220910192717,-0.17490798757121517
25.5,1.4500590651611214,0.31779316306805444,-0.1788218910212985
26.0,1.4581788093202435,0.3278703946161159,-0.18258553922120205
26.5,1.4654574559489508,0.33842750528094523,-0.18622202991052034
27.0,1.4722111092386359,0.34941481805018115,-0.18975087207993344
