LE_x,LE_y,LE_z,TE_x,TE_y,TE_z,d_tube,camber
0.8630767430175426,4.1565,0.6394615384615385,1.5450326776836745,4.130039796867375,0.6353907379795961,0.1033568987514973,0.040334
0.4226910266181281,4.070309801650377,0.6262015079462119,1.6277146625568284,4.050818332242261,0.6232028203449632,0.0863297127411496,0.0601690555555555
-0.0176946897812863,3.9841196033007535,0.6129414774308851,1.7103966474299823,3.9715968676171474,0.6110149027103303,0.0811132206384643,0.0692143333333333
-0.1281722881830875,3.565602487221173,0.5485542288032573,1.8605294081518773,3.5505143578820486,0.5462329781356998,0.0797261139406313,0.0765366666666666
-0.2386498865848886,3.147085371141592,0.48416698017562954,2.0106621688737727,3.12943184814695,0.4814510535610692,0.0787562637801624,0.0824149999999999
-0.3119719498702792,2.5573932419570693,0.3934451141472414,2.0646955844803685,2.5419687498490218,0.391072115361388,0.0780741411085623,0.08701
-0.3852940131556698,1.9677011127725468,0.30272324811885337,2.118729000086964,1.9545056515510937,0.30069317716170674,0.0775841601834298,0.0905503333333333
-0.4218566461376055,1.3173276339723552,0.2026657898419008,2.1430344733625466,1.308957221366006,0.2013780340563086,0.0772499640331747,0.0930907222222222
-0.4584192791195412,0.6669541551721638,0.10260833156494828,2.16733994663813,0.6634087911809183,0.1020628909509105,0.0770656103644821,0.0945325555555555
-0.4584192791195412,0.0,0.0,2.16733994663813,0.0,0.0,0.0769999920939645,0.095
-0.4584192791195412,-0.6669541551721638,-0.10260833156494828,2.16733994663813,-0.6634087911809183,-0.1020628909509105,0.0770656103644821,0.0945325555555555
-0.4218566461376055,-1.3173276339723552,-0.2026657898419008,2.1430344733625466,-1.308957221366006,-0.2013780340563086,0.0772499640331746,0.0930907222222222
-0.3852940131556698,-1.9677011127725468,-0.30272324811885337,2.118729000086964,-1.9545056515510937,-0.30069317716170674,0.0775841601834298,0.0905503333333333
-0.3119719498702792,-2.5573932419570693,-0.3934451141472414,2.0646955844803685,-2.5419687498490218,-0.391072115361388,0.0780741411085623,0.08701
-0.2386498865848886,-3.147085371141592,-0.48416698017562954,2.0106621688737727,-3.12943184814695,-0.4814510535610692,0.0787562637801624,0.082415
-0.1281722881830875,-3.565602487221173,-0.5485542288032573,1.8605294081518773,-3.5505143578820486,-0.5462329781356998,0.0797261139406313,0.0765366666666666
-0.0176946897812863,-3.9841196033007535,-0.6129414774308851,1.7103966474299823,-3.9715968676171474,-0.6110149027103303,0.0811132206384643,0.0692143333333333
0.4226910266181281,-4.070309801650377,-0.6262015079462119,1.6277146625568284,-4.050818332242261,-0.6232028203449632,0.0863297127411496,0.0601690555555555
0.8630767430175426,-4.1565,-0.6394615384615385,1.5450326776836745,-4.130039796867375,-0.6353907379795961,0.1033568987514973,0.040334
