LE_x,LE_y,LE_z,TE_x,TE_y,TE_z,d_tube,camber
0.8630767430175426,4.1565,5.678578004700223,1.5450326776836745,4.130039796867375,5.554314133599972,0.1033568987514973,0.040334
0.4226910266181281,4.070309801650377,6.089035638268167,1.6277146625568284,4.050818332242261,6.024994013546393,0.0863297127411496,0.0601690555555555
-0.0176946897812863,3.9841196033007535,6.499493271836111,1.7103966474299823,3.9715968676171474,6.495673893492815,0.0811132206384643,0.0692143333333333
-0.1281722881830875,3.565602487221173,7.004226178731286,1.8605294081518773,3.5505143578820486,6.991015528526787,0.0797261139406313,0.0765366666666666
-0.2386498865848886,3.147085371141592,7.508959085626459,2.0106621688737727,3.12943184814695,7.486357163560757,0.0787562637801624,0.0824149999999999
-0.3119719498702792,2.5573932419570693,7.811333233181932,2.0646955844803685,2.5419687498490218,7.781364721542717,0.0780741411085623,0.08701
-0.3852940131556698,1.9677011127725468,8.113707380737402,2.118729000086964,1.9545056515510937,8.076372279524676,0.0775841601834298,0.0905503333333333
-0.4218566461376055,1.3173276339723552,8.244361153154829,2.1430344733625466,1.308957221366006,8.203078122342447,0.0772499640331747,0.0930907222222222
-0.4584192791195412,0.6669541551721638,8.375014925572255,2.16733994663813,0.6634087911809183,8.329783965160216,0.0770656103644821,0.0945325555555555
-0.4584192791195412,0.0,8.375014925572255,2.16733994663813,0.0,8.329783965160216,0.0769999920939645,0.095
-0.4584192791195412,-0.6669541551721638,8.375014925572255,2.16733994663813,-0.6634087911809183,8.329783965160216,0.0770656103644821,0.0945325555555555
-0.4218566461376055,-1.3173276339723552,8.244361153154829,2.1430344733625466,-1.308957221366006,8.203078122342447,0.0772499640331746,0.0930907222222222
-0.3852940131556698,-1.9677011127725468,8.113707380737402,2.118729000086964,-1.9545056515510937,8.076372279524676,0.0775841601834298,0.0905503333333333
-0.3119719498702792,-2.5573932419570693,7.811333233181932,2.0646955844803685,-2.5419687498490218,7.781364721542717,0.0780741411085623,0.08701
-0.2386498865848886,-3.147085371141592,7.508959085626459,2.0106621688737727,-3.12943184814695,7.486357163560757,0.0787562637801624,0.082415
-0.1281722881830875,-3.565602487221173,7.004226178731286,1.8605294081518773,-3.5505143578820486,6.991015528526787,0.0797261139406313,0.0765366666666666
-0.0176946897812863,-3.9841196033007535,6.499493271836111,1.7103966474299823,-3.9715968676171474,6.495673893492815,0.0811132206384643,0.0692143333333333
0.4226910266181281,-4.070309801650377,6.089035638268167,1.6277146625568284,-4.050818332242261,6.024994013546393,0.0863297127411496,0.0601690555555555
0.8630767430175426,-4.1565,5.678578004700223,1.5450326776836745,-4.130039796867375,5.554314133599972,0.1033568987514973,0.040334
