alpha,Cd,Cs,Cl,CmPitch
12.5,0.08754227066933279,1.3440310590325042e-21,1.3538072922142697,-0.10410770491089112
13.0,0.1137409758132821,1.3315803130370195e-21,1.2323112924707567,-0.11687508272612436
13.5,0.14107792939630315,1.3165783651366053e-21,1.110395047768825,-0.12918327192543191
14.0,0.1632080740717549,1.303729184315675e-21,1.0428040516496464,-0.1381433201760246
14.5,0.1793708305621238,1.2938251897885553e-21,1.0224732655449378,-0.14389994863208974
15.0,0.19349576363539456,1.284438891893646e-21,1.0065793722895469,-0.14864520923010968
15.5,0.2062730320131735,1.275444396301468e-21,0.9962304475293421,-0.15256114581073787
16.0,0.2183927944170672,1.2667158086825418e-21,0.992534566910192,-0.1558298022146279
16.5,0.22987187833455347,1.2583428477536553e-21,0.993511886146462,-0.15859471963678284
17.0,0.24053284556883242,1.2503259488621979e-21,0.995929491112197,-0.16095610170036967
17.5,0.2507744563150938,1.2424052926245944e-21,0.9990158526927851,-0.16303098588828752
18.0,0.2609954707685274,1.2343210596572701e-21,1.0019994417736144,-0.1649364096834356
18.5,0.2712559325619606,1.226248284313466e-21,1.004950331569794,-0.16673031790483214
19.0,0.28136433572981306,1.2182421085487638e-21,1.0082189665682577,-0.1683844053696373
19.5,0.29134211606966276,1.2098628743830997e-21,1.0114543745621312,-0.16988633455796334
20.0,0.3012107093790877,1.20067092383641e-21,1.014305583344539,-0.1712237679499225
20.5,0.3109625833476512,1.1879528056267136e-21,1.0166179410640466,-0.17237737125161817
21.0,0.3205942300733652,1.1726412653817722e-21,1.0186517147303322,-0.17339531578531747
21.5,0.33013312196648065,1.1597659404861367e-21,1.0206783104281902,-0.17436652245537826
22.0,0.3396067314372485,1.1543564683243581e-21,1.022969134242415,-0.1753799121661584
22.5,0.3490212004898601,1.154378278476221e-21,1.025615081731637,-0.17645073174682224
23.0,0.35836378772683003,1.154530949539262e-21,1.0285095069878363,-0.1775347922678333
23.5,0.3676336404558954,1.1549453424246585e-21,1.0316275038958327,-0.17863186099549808
24.0,0.3768299059847928,1.1557523180435886e-21,1.0349441663404446,-0.1797417051961231
24.5,0.385951731621259,1.1570827373072303e-21,1.0384345882064923,-0.1808640921360148
