,35,70
cl,0.6699268218196418,0.6680835063212966
cd,0.06985206070325818,0.06862849230336565
cs,-2.2465275335092617e-16,-1.5637746671751985e-16
cmx,-8.853315846566873e-16,-6.299703145987481e-16
cmy,0.10997538732051618,0.11311092776455246
cmz,-4.7984164234142964e-17,-2.4744309114141374e-17
