alpha,Cd,Cs,Cl,Cm
-10.0,0.1247963862531487,-8.263188570309638e-22,-0.4377847767021424,0.1291313592352408
-9.5,0.1225027687600532,-8.2510064848077645e-22,-0.4367631614049428,0.1287374262101457
-9.0,0.1197867284636386,-8.214602594815178e-22,-0.433752535163911,0.1275964699383671
-8.5,0.116683774139274,-8.154190450101442e-22,-0.4288342274548969,0.1257697546251651
-8.0,0.1132294145623286,-8.069983600436115e-22,-0.4220895677537509,0.1233185444757994
-7.5,0.1094591585081718,-7.962195595588752e-22,-0.413599885536323,0.1203041036955302
-7.0,0.1054085147521727,-7.831039985328916e-22,-0.4034465102784633,0.1167876964896174
-6.5,0.1011129920697006,-7.676730319426165e-22,-0.391710771456022,0.1128305870633209
-6.0,0.0966080992361246,-7.49948014765006e-22,-0.3784739985448493,0.1084940396219008
-5.5,0.091929345026814,-7.299503019770156e-22,-0.3638175210207952,0.1038393183706169
-5.0,0.087112238217138,-7.077012485556013e-22,-0.34782266835971,0.0989276875147293
-4.5,0.0812978211166936,-6.488937178685686e-22,-0.3179983719550545,0.0918592212243729
-4.0,0.0741407037300396,-5.332907702632524e-22,-0.2666828564668877,0.0814800188661822
-3.5,0.0664467463749878,-3.8201905618590233e-22,-0.201201391270957,0.0689703824401658
-3.0,0.0590218093693501,-2.1620522608276884e-22,-0.1288792457430095,0.0555106139463327
-2.5,0.0526717530309383,-5.697593040010157e-23,-0.0570416892587924,0.0422810153846915
-2.0,0.0482024376775642,7.454218041584896e-23,0.0069860088059468,0.0304618887552512
-1.5,0.0452825311470559,1.7490318094995511e-22,0.0617885315846021,0.0201400959698438
-1.0,0.0429190595046173,2.641083628223872e-22,0.114267179253653,0.0102637758761647
-0.5,0.0409254204091241,3.562019011398432e-22,0.1695716080019811,0.0003051458780172
0.0,0.0391150115194519,4.652279710090204e-22,0.2328514740184679,-0.0102635766207953
0.5,0.03746604740574,6.084850061181858e-22,0.3127080581892902,-0.0233230377654791
1.0,0.0360105821295864,7.794350854553734e-22,0.4063624679615703,-0.038065759761187
1.5,0.0346427725870538,9.563678520769309e-22,0.5018940993656077,-0.0509873392940356
2.0,0.0332567756742054,1.1175729490392057e-21,0.5873823484317017,-0.0585833730501417
2.5,0.031683897345946,1.263226790371277e-21,0.6627729640342712,-0.0621617401132827
3.0,0.0299103346892531,1.4070349588153766e-21,0.7357900118512681,-0.0653489298848937
3.5,0.0280625812982984,1.5475808504975841e-21,0.8061803631182909,-0.0681184545275775
4.0,0.0262671307672536,1.6834478615439786e-21,0.8736908890709383,-0.0704438262039368
4.5,0.0246504766902903,1.8132193880806402e-21,0.9380684609448092,-0.0722985570765744
5.0,0.0233391126615801,1.935478826233648e-21,0.9990599499755022,-0.0736561593080931
5.5,0.0224595322752949,2.0488095721290807e-21,1.056412227398616,-0.0744901450610956
6.0,0.0221382291256061,2.1517950218930176e-21,1.1098721644497491,-0.0747740264981848
6.5,0.0223314640591147,2.2531535594222814e-21,1.162780224196327,-0.0746178781265751
7.0,0.0228962952147989,2.358874616778922e-21,1.2171567318066538,-0.074206214237786
7.5,0.0238104121253965,2.46344816233686e-21,1.2707683516676482,-0.0736242066708773
8.0,0.025051504323645,2.561364164470016e-21,1.321381748166228,-0.0729570272649089
8.5,0.0265972613422823,2.6471125915523125e-21,1.3667635856893123,-0.0722898478589404
9.0,0.0284253727140459,2.715183411957669e-21,1.4046805286238184,-0.0717078402920317
9.5,0.0305135279716735,2.760066594060008e-21,1.4328992413566646,-0.0712961764032426
10.0,0.0328394166479028,2.776252106233249e-21,1.4491863882747698,-0.071140028031633
10.5,0.0366810831271125,2.7516724629994485e-21,1.458269654582415,-0.0730563533135527
11.0,0.043019831321635,2.6896488391285578e-21,1.4658028460109478,-0.0779222172837384
11.5,0.0513882400561384,2.607754193366343e-21,1.4709418077378875,-0.0844129521288296
12.0,0.0613188881552907,2.52356148445857e-21,1.4728423849407524,-0.0912038900354658
12.5,0.0765664918929331,2.418802429364716e-21,1.4283217006273068,-0.0992505875285004
13.0,0.0982239311313342,2.2879711349020934e-21,1.326134507421061,-0.1092386212719616
13.5,0.1218310300778026,2.167784144603219e-21,1.2133430949231514,-0.1194383536612504
14.0,0.1429276129396469,2.094958002000613e-21,1.1370097527347138,-0.1281201470917682
