alpha,Cl,Cd,Cm
-40.0,-1.1984874901,0.3539819723,0.1897592786
-39.0,-1.1903716947,0.3513674284,0.1869922352
-38.0,-1.1807650222,0.3481203148,0.1839113497
-37.0,-1.1696834882,0.3442624397,0.1805302276
-36.0,-1.1571400124,0.3398214059,0.1768636826
-35.0,-1.1431467384,0.3348301575,0.1729281528
-34.0,-1.1277193651,0.329326841,0.168742242
-33.0,-1.1108837898,0.3233555843,0.1643271727
-32.0,-1.0926847114,0.3169685135,0.1597066787
-31.0,-1.0731938187,0.3102283423,0.1549057568
-30.0,-1.0525119337,0.3032090236,0.1499483048
-29.0,-1.0307591262,0.2959895991,0.1448547234
-28.0,-1.0080529316,0.2886385429,0.1396401364
-27.0,-0.9844800488,0.2811979507,0.1343118304
-26.0,-0.9600660826,0.2736826819,0.1288649603
-25.0,-0.9347533525,0.2660912473,0.1232809262
-24.0,-0.908408988,0.2584065665,0.1175379882
-23.0,-0.8808719555,0.2505784407,0.1116356294
-22.0,-0.8520119648,0.2425193087,0.1056118259
-21.0,-0.8217764996,0.2341539678,0.0995310705
-20.0,-0.7902125551,0.2254945083,0.0934540245
-19.0,-0.7574319164,0.2109098659,0.0874178017
-18.0,-0.7235334888,0.1963252236,0.0814384557
-17.0,-0.6885581547,0.1817405813,0.0755273013
-16.0,-0.6525086689,0.167155939,0.0697092197
-15.0,-0.6153791336,0.1525712967,0.0640286596
-14.0,-0.5665762484,0.1379866543,0.0585248948
-13.0,-0.5177733632,0.123402012,0.0531850395
-12.0,-0.468970478,0.1088173697,0.0479302205
-11.0,-0.4201675928,0.0942327274,0.0426748078
-10.0,-0.3713647076,0.0796480851,0.0374439374
-9.0,-0.3225618224,0.0714951308,0.0324788327
-8.0,-0.2737589372,0.0642003823,0.0280435157
-7.0,-0.224956052,0.0577638395,0.0227113873
-6.0,-0.1761531668,0.0521855024,0.0098861452
-5.0,-0.1273502816,0.047465371,-0.0025043701
-4.0,-0.0785473964,0.0436034454,-0.0081698965
-3.0,-0.0297445112,0.0405997254,-0.0163858967
-2.0,0.019058374,0.0384542111,-0.0265406093
-1.0,0.0678612592,0.0371669026,-0.0368797866
0.0,0.1166641444,0.0367377997,-0.046170692
1.0,0.3036232736,0.0371669026,-0.0529900348
2.0,0.4875532191,0.0384542111,-0.0570622421
3.0,0.6665095711,0.0405997254,-0.059133217
4.0,0.8385479199,0.0436034454,-0.0597776795
5.0,1.0017238558,0.047465371,-0.0592044239
6.0,1.154092969,0.0521855024,-0.0577340888
7.0,1.2937108497,0.0577638395,-0.0554498358
8.0,1.4186330884,0.0642003823,-0.0531172138
9.0,1.5269152752,0.0714951308,-0.0509597998
10.0,1.6166130003,0.0796480851,-0.0480567335
11.0,1.6857818542,0.088659245,-0.0439537571
12.0,1.732477427,0.0985286106,-0.0393390578
13.0,1.754755309,0.109256182,-0.0338387804
14.0,1.7506710905,0.120841959,-0.0303992869
15.0,1.7182803617,0.1332859417,-0.0369870934
16.0,1.6556387129,0.1465881302,-0.0475267543
17.0,1.5608017345,0.1607485244,-0.0578260913
18.0,1.4318250166,0.1757671242,-0.0671204609
19.0,1.4197869374,0.1871419826,-0.0741416797
20.0,1.4077488583,0.198516841,-0.0809032425
21.0,1.3957107791,0.2098916993,-0.0963326405
22.0,1.3836727,0.2212665577,-0.1154217235
23.0,1.3716346208,0.232641416,-0.1313611719
24.0,1.3595965417,0.2440162744,-0.1504374873
25.0,1.3475584625,0.2553911327,-0.1656353896
26.0,1.3355203834,0.2667659911,-0.1764622337
27.0,1.3234823042,0.2781408494,-0.1852255601
28.0,1.3114442251,0.2895157078,-0.1932276261
29.0,1.3353132528,0.3008905661,-0.2007255044
30.0,1.355410761,0.3122654245,-0.2076609933
31.0,1.3727481192,0.3236402828,-0.2140492903
32.0,1.3881903262,0.3350151412,-0.2199387329
33.0,1.4020288173,0.3463899995,-0.2253472495
34.0,1.4146189411,0.3569525117,-0.2303020314
35.0,1.4260817754,0.3671032966,-0.2348218607
36.0,1.4362982765,0.3762226374,-0.238909002
37.0,1.4452103869,0.3839809508,-0.242571387
38.0,1.4528175145,0.3903439944,-0.2458234259
39.0,1.4591261516,0.3954072788,-0.2486795058
40.0,1.4641386481,0.3993055524,-0.2511512879
