alpha,Cl,Cd,Cm
-40.0,-1.3004607467,0.3928799605,0.2146866873
-39.0,-1.293610983,0.3894832424,0.2120458431
-38.0,-1.2852802186,0.385327451,0.2090643119
-37.0,-1.2754859336,0.3804310027,0.2057465446
-36.0,-1.2642465892,0.3748156015,0.2020971577
-35.0,-1.2515826706,0.3685074622,0.1981216588
-34.0,-1.2375188396,0.3615401257,0.1938276543
-33.0,-1.2220869664,0.3539592034,0.1892263308
-32.0,-1.2053291695,0.3458281689,0.1843336328
-31.0,-1.1872999786,0.3372324175,0.1791703916
-30.0,-1.1680666421,0.3282781933,0.1737611467
-29.0,-1.1477049104,0.3190858861,0.1681324259
-28.0,-1.1262873615,0.3097815208,0.1623115092
-27.0,-1.1038665383,0.3004895381,0.156325287
-26.0,-1.0804598534,0.2913227718,0.150197922
-25.0,-1.0560413688,0.2823586249,0.143948919
-24.0,-1.0305455007,0.2735928214,0.1375977071
-23.0,-1.0038958702,0.264901535,0.1311768316
-22.0,-0.9760612292,0.2561081527,0.1247380143
-21.0,-0.9470789528,0.2471262736,0.1183364144
-20.0,-0.9170122342,0.2379717373,0.1120160511
-19.0,-0.8859314652,0.2250286713,0.1058110912
-18.0,-0.8539363326,0.2120856052,0.0997441501
-17.0,-0.8211228107,0.1991425392,0.0938204533
-16.0,-0.7875011049,0.1861994731,0.0880332302
-15.0,-0.7529967363,0.1732564071,0.0823760106
-14.0,-0.6987876794,0.160313341,0.0768261753
-13.0,-0.6445786226,0.147370275,0.0713056578
-12.0,-0.5903695658,0.1344272089,0.0656878574
-11.0,-0.536160509,0.1214841428,0.0598739582
-10.0,-0.4819514521,0.1085410768,0.0538885451
-9.0,-0.4277423953,0.0966362285,0.0479197311
-8.0,-0.3735333385,0.0859845221,0.0421938149
-7.0,-0.3193242817,0.0765859576,0.0367765254
-6.0,-0.2651152248,0.0684405351,0.0317157389
-5.0,-0.210906168,0.0615482544,0.0269262116
-4.0,-0.1566971112,0.0559091158,0.0214617025
-3.0,-0.1024880543,0.051523119,0.0010637563
-2.0,-0.0482789975,0.0483902642,-0.0083086116
-1.0,0.0059300593,0.0465105513,-0.0175237415
0.0,0.0601391161,0.0458839803,-0.023384711
1.0,0.2024383852,0.0465105513,-0.0265113511
2.0,0.3428399009,0.0483902642,-0.0274722818
3.0,0.4800054949,0.051523119,-0.0271199105
4.0,0.6125969988,0.0559091158,-0.0258237005
5.0,0.7392762443,0.0615482544,-0.0260652409
6.0,0.858705063,0.0684405351,-0.0239435834
7.0,0.9695452866,0.0765859576,-0.0193506066
8.0,1.0704587469,0.0859845221,-0.0131254757
9.0,1.1601072754,0.0966362285,-0.0055003063
10.0,1.2371527038,0.1085410768,-0.000516231
11.0,1.3002568637,0.121699067,0.0021739166
12.0,1.3480815869,0.1361101992,-0.0327559422
13.0,1.379288705,0.1517744734,-0.0750746372
14.0,1.3925400496,0.1686918894,-0.0807269034
15.0,1.3864974525,0.1868624474,-0.0875190863
16.0,1.3598227452,0.2062861473,-0.0945240764
17.0,1.3111777595,0.2269629891,-0.101526043
18.0,1.239224327,0.2488929729,-0.1087150582
19.0,1.2400623789,0.2572147498,-0.1162767094
20.0,1.2409004308,0.2655365267,-0.1246439212
21.0,1.2417384828,0.2738583036,-0.1338484783
22.0,1.2425765347,0.2821800805,-0.1428222682
23.0,1.2434145866,0.2905018574,-0.1511015045
24.0,1.2442526385,0.2988236343,-0.1586479711
25.0,1.2450906905,0.3071454113,-0.1656291216
26.0,1.2459287424,0.3154671882,-0.1722142579
27.0,1.2467667943,0.3237889651,-0.1785093318
28.0,1.2476048462,0.332110742,-0.1845625443
29.0,1.2677241843,0.3404325189,-0.1903867803
30.0,1.2866664203,0.3487542958,-0.1959764711
31.0,1.3044113536,0.3570760727,-0.2013174474
32.0,1.3209166947,0.3653978496,-0.2063925315
33.0,1.3361336004,0.3737196266,-0.2111846359
34.0,1.3500164159,0.3827650933,-0.2156783245
35.0,1.3625277044,0.3910903479,-0.2198604394
36.0,1.3736396248,0.3986479837,-0.2237201557
37.0,1.3833326952,0.405394715,-0.2272486836
38.0,1.3915931667,0.4112909422,-0.2304387937
39.0,1.3984102254,0.416301026,-0.2332843347
40.0,1.403773865,0.4203940134,-0.2357798638
