alpha,Cd,Cs,Cl,Cm
-10.0,0.1247963862531487,-8.263188570309638e-22,-0.4377847767021424,0.1291313592352408
-9.0,0.1197867284636386,-8.214602594815178e-22,-0.433752535163911,0.1275964699383671
-8.0,0.1132294145623286,-8.069983600436116e-22,-0.4220895677537509,0.1233185444757994
-7.0,0.1054085147521727,-7.831039985328916e-22,-0.4034465102784633,0.1167876964896174
-6.0,0.0966080992361246,-7.49948014765006e-22,-0.3784739985448493,0.1084940396219008
-5.0,0.087112238217138,-7.077012485556013e-22,-0.34782266835971,0.0989276875147293
-4.0,0.0741407037300396,-5.332907702632524e-22,-0.2666828564668877,0.0814800188661822
-3.0,0.0590218093693501,-2.1620522608276884e-22,-0.1288792457430095,0.0555106139463327
-2.0,0.0482024376775642,7.454218041584896e-23,0.0069860088059468,0.0304618887552512
-1.0,0.0429190595046173,2.641083628223872e-22,0.114267179253653,0.0102637758761647
0.0,0.0391150115194519,4.652279710090204e-22,0.2328514740184679,-0.0102635766207953
1.0,0.0360105821295864,7.794350854553734e-22,0.4063624679615703,-0.038065759761187
2.0,0.0332567756742054,1.1175729490392057e-21,0.5873823484317017,-0.0585833730501417
3.0,0.0299103346892531,1.4070349588153766e-21,0.7357900118512681,-0.0653489298848937
4.0,0.0262671307672536,1.6834478615439786e-21,0.8736908890709383,-0.0704438262039368
5.0,0.0233391126615801,1.935478826233648e-21,0.9990599499755022,-0.0736561593080931
6.0,0.0221382291256061,2.1517950218930176e-21,1.1098721644497491,-0.0747740264981848
7.0,0.0228962952147989,2.358874616778922e-21,1.2171567318066538,-0.074206214237786
8.0,0.025051504323645,2.561364164470016e-21,1.321381748166228,-0.0729570272649089
9.0,0.0284253727140459,2.715183411957669e-21,1.4046805286238184,-0.0717078402920317
10.0,0.0328394166479028,2.776252106233249e-21,1.4491863882747698,-0.071140028031633
11.0,0.043019831321635,2.6896488391285578e-21,1.4658028460109478,-0.0779222172837384
12.0,0.0613188881552907,2.52356148445857e-21,1.4728423849407524,-0.0912038900354658
13.0,0.0982239311313342,2.2879711349020934e-21,1.326134507421061,-0.1092386212719616
14.0,0.1429276129396469,2.094958002000613e-21,1.1370097527347138,-0.1281201470917682
15.0,0.1787909947093641,2.041039187530902e-21,1.0592498894840852,-0.1421537713788302
16.0,0.2096497192941613,2.00578736606078e-21,1.0235034962162166,-0.1525262612177296
17.0,0.2333012723473559,1.970893655612006e-21,1.0228954974517024,-0.1586983431249863
18.0,0.2541618047680573,1.944051387876018e-21,1.0226909058710845,-0.1630851893964166
19.0,0.2745488467772055,1.928789338035878e-21,1.0246194669746662,-0.1663195333469832
20.0,0.2943426002772124,1.9136352088652777e-21,1.0278215853181298,-0.1690211737595524
21.0,0.3141918464710955,1.886225069761821e-21,1.030101121442468,-0.1715866752227217
22.0,0.3338918727429516,1.853838767898152e-21,1.0328798780555286,-0.1740909929472152
23.0,0.3534550566925633,1.8236158972400344e-21,1.0377872954044471,-0.1767446260801238
24.0,0.3728779455978093,1.7931755536473564e-21,1.0447355106588214,-0.1794790219793582
