alpha,Cd,Cs,Cl,Cm
-10.0,0.1130805978335641,-6.487203008152812e-22,-0.2539629024495576,0.0578101742159575
-9.5,0.1106801847109277,-7.492038958907563e-22,-0.271843172856166,0.0659134178650412
-9.0,0.1080076741625252,-8.296649295858784e-22,-0.2861605849529705,0.0724019930379238
-8.5,0.1050834747826947,-8.923281309429089e-22,-0.2973110118855049,0.077455307343072
-8.0,0.1019279951657744,-9.394182290041094e-22,-0.3056903267993029,0.0812527683889526
-7.5,0.0985616439061023,-9.731599528117412e-22,-0.3116944028398983,0.0839737837840324
-7.0,0.0950048295980167,-9.957780314080656e-22,-0.3157191131528249,0.0857977611367782
-6.5,0.0912779608358555,-1.0094971938353445e-21,-0.3181603308836165,0.0869041080556567
-6.0,0.087401446213957,-1.0165421691358392e-21,-0.3194139291778068,0.0874722321491349
-5.5,0.0833956943266593,-1.019137686351811e-21,-0.3198757811809295,0.0876815410256795
-5.0,0.0792811137683006,-1.0195084745255212e-21,-0.3199417600385185,0.0877114422937574
-4.5,0.074323557469085,-9.88311526382966e-22,-0.3037392851146056,0.0852922936464342
-4.0,0.0682764206649561,-9.0497769022907e-22,-0.2607608931452114,0.0787628889665007
-3.5,0.0618914254088603,-7.848924784744874e-22,-0.1994501333338529,0.0692152901470111
-3.0,0.0559202937537445,-6.43441403529873e-22,-0.1282505548840471,0.0577415590810194
-2.5,0.0511147477525552,-4.960099778058811e-22,-0.0556057069993109,0.0454337576615797
-2.0,0.0482265094582392,-3.5798371371316643e-22,0.0100408611168386,0.0333839477817462
-1.5,0.046931754245449,-2.0652291781113048e-22,0.0705793198362689,0.0187391023050391
-1.0,0.046101100235593,-3.245726186008608e-23,0.1333868718872297,0.0008069903166728
-0.5,0.0452779336017513,1.2832369392794618e-22,0.1982505166007773,-0.016079131957758
0.0,0.0440056405170038,2.3993038934094543e-22,0.2649572533079684,-0.0275860082926584
0.5,0.0409469849138726,3.0182157507357797e-22,0.3342772904525927,-0.0339672800975147
1.0,0.0362410857594718,3.466199911489296e-22,0.4062116614943853,-0.0388506965301937
1.5,0.031645861778769,3.8818206134760852e-22,0.4793936032883202,-0.042964162987671
2.0,0.0289192316967321,4.403642094502228e-22,0.5524563526893713,-0.0470355848669221
2.5,0.0277714795622669,5.147498064639336e-22,0.6274972160673782,-0.0516097492253833
3.0,0.0267470488527643,6.085666053325526e-22,0.7061612843106606,-0.0565463749263308
3.5,0.0258550974359193,7.14137602741665e-22,0.7864034710519127,-0.0615457650754998
4.0,0.0251047831794269,8.2378579537685685e-22,0.8661786899238287,-0.0663082227786256
4.5,0.0245052639509823,9.298341799237129e-22,0.9434418545591028,-0.0705340511414436
5.0,0.0240656976182803,1.0246057530678192e-21,1.0161478785904297,-0.0739235532696888
5.5,0.0237952420490162,1.1004235114947612e-21,1.0822516756505025,-0.0761770322690968
6.0,0.0237030551108848,1.1496104518901238e-21,1.139708159372016,-0.0769947912454028
6.5,0.0238666704697505,1.1808664659138942e-21,1.1938921151335946,-0.0766064560196901
7.0,0.0243512907666484,1.2082700975420017e-21,1.2497195301745294,-0.0755826631519021
7.5,0.0251475773320298,1.2322123219339465e-21,1.304457120918516,-0.074135231856064
8.0,0.026246191496346,1.2530841142492285e-21,1.3553716037892496,-0.0724759813462007
8.5,0.0276377945900483,1.2712764496473477e-21,1.3997296952104246,-0.0708167308363375
9.0,0.0293130479435878,1.2871803032878037e-21,1.4347981116057371,-0.0693692995404993
9.5,0.0312626128874159,1.3011866503300976e-21,1.4578435693988814,-0.0683455066727113
10.0,0.0334771507519838,1.3136864659337286e-21,1.4661327850135526,-0.0679571714469987
10.5,0.0379079833934884,1.3259203593680718e-21,1.462789572735603,-0.0704604873236725
11.0,0.0458946030741672,1.3373949875049206e-21,1.4533846163094069,-0.0767837570652558
11.5,0.0565099267335323,1.345900396907403e-21,1.4388549363464431,-0.0851469638390911
12.0,0.068826871311096,1.3492266341386465e-21,1.4201375534581917,-0.0937700908125213
12.5,0.0875422706693327,1.3440310590325042e-21,1.3538072922142697,-0.1041077049108911
13.0,0.1137409758132821,1.3315803130370196e-21,1.2323112924707569,-0.1168750827261243
13.5,0.1410779293963031,1.3165783651366053e-21,1.110395047768825,-0.1291832719254319
14.0,0.1632080740717549,1.303729184315675e-21,1.0428040516496464,-0.1381433201760246
14.5,0.1793708305621238,1.2938251897885553e-21,1.0224732655449378,-0.1438999486320897
15.0,0.1934957636353945,1.284438891893646e-21,1.0065793722895469,-0.1486452092301096
15.5,0.2062730320131735,1.275444396301468e-21,0.996230447529342,-0.1525611458107378
16.0,0.2183927944170672,1.2667158086825418e-21,0.992534566910192,-0.1558298022146279
16.5,0.2298718783345534,1.2583428477536553e-21,0.993511886146462,-0.1585947196367828
17.0,0.2405328455688324,1.250325948862198e-21,0.995929491112197,-0.1609561017003696
17.5,0.2507744563150938,1.2424052926245944e-21,0.9990158526927851,-0.1630309858882875
18.0,0.2609954707685274,1.2343210596572701e-21,1.0019994417736144,-0.1649364096834356
18.5,0.2712559325619606,1.226248284313466e-21,1.004950331569794,-0.1667303179048321
19.0,0.281364335729813,1.2182421085487638e-21,1.0082189665682575,-0.1683844053696373
19.5,0.2913421160696627,1.2098628743830997e-21,1.0114543745621312,-0.1698863345579633
20.0,0.3012107093790877,1.20067092383641e-21,1.014305583344539,-0.1712237679499225
20.5,0.3109625833476512,1.1879528056267136e-21,1.0166179410640466,-0.1723773712516181
21.0,0.3205942300733652,1.1726412653817722e-21,1.0186517147303322,-0.1733953157853174
21.5,0.3301331219664806,1.1597659404861369e-21,1.0206783104281902,-0.1743665224553782
22.0,0.3396067314372485,1.1543564683243581e-21,1.022969134242415,-0.1753799121661584
22.5,0.3490212004898601,1.154378278476221e-21,1.025615081731637,-0.1764507317468222
23.0,0.35836378772683,1.154530949539262e-21,1.0285095069878365,-0.1775347922678333
23.5,0.3676336404558954,1.1549453424246585e-21,1.031627503895833,-0.178631860995498
24.0,0.3768299059847928,1.1557523180435886e-21,1.0349441663404446,-0.1797417051961231
24.5,0.385951731621259,1.1570827373072305e-21,1.0384345882064925,-0.1808640921360148
