alpha,cl,cd,cm,cl_breukels,cd_breukels,cm_breukels
-0.6981317007977318,-0.3,0.6160445032266204,-6.796590783533548,0.6330222215594888,-0.5311687126375895,-6.9673602146595925
-0.6778959993253338,-0.3,0.6011827080958911,-6.543246236686883,0.6127156570404221,-0.4933509293464582,-6.565451585480308
-0.6576602978529357,-0.3,0.5794580127198912,-6.179274093016504,0.5914270547205961,-0.4567962002104642,-6.175363798335708
-0.6374245963805377,-0.3,0.5563785813661348,-5.802951479018247,0.5692553638129821,-0.4215611531687742,-5.797096853225794
-0.6171888949081398,-0.3,0.533193278887865,-5.436560745616571,0.5463022564088942,-0.3876963246784629,-5.430650750150565
-0.5969531934357417,-0.3,0.5100048730907636,-5.081935484576027,0.5226717447116106,-0.3552460059886683,-5.0760254891100205
-0.5767174919633437,-0.3,0.4868164672936621,-4.739131065570167,0.4984697898691278,-0.3242481129136139,-4.733221070104159
-0.5564817904909456,-0.3,0.4636280614965606,-4.40814748859899,0.4738039038504524,-0.294734079570791,-4.402237493132983
-0.5362460890185476,-0.3,0.4404396556994592,-4.088984753662501,0.4487827458353799,-0.2667287764621078,-4.083074758196494
-0.5160103875461496,-0.3,0.4172512499023578,-3.7816428607606953,0.4235157146078204,-0.24025045318593,-3.775732865294688
-0.4957746860737515,-0.3,0.3940628441052563,-3.486121809893575,0.3981125384573725,-0.2153107059770205,-3.480211814427568
-0.4755389846013536,-0.3,0.3708744383081548,-3.202421601061139,0.3726828641029184,-0.1919144701797207,-3.196511605595132
-0.4553032831289555,-0.3,0.3476860325110533,-2.930542234263388,0.3473358461555311,-0.1700600376676973,-2.9246322387973804
-0.4350675816565574,-0.3,0.324497626713952,-2.670483709500321,0.3221797386358923,-0.1497390991314963,-2.664573714034314
-0.4148318801841594,-0.3,0.3013092209168505,-2.422246026771941,0.2973214900537559,-0.13093681106337,-2.416336031305933
-0.3945961787117615,-0.3,0.2781208280143099,-2.185829186078244,0.2728663435437656,-0.1136318871776947,-2.179919190612237
-0.3743604772393634,-0.3,0.2549334504955506,-1.961233187419232,0.248917443533207,-0.0977967139151278,-1.9553231919532248
-0.3541247757669654,-0.3,0.2317709261070711,-1.7484580307949051,0.2255754503931088,-0.0833974895897758,-1.7425480353288978
-0.3338890742945674,-0.3,0.2088747734452653,-1.547503716205263,-1.2911542418741135,0.2054055619353447,-1.541593720739256
-0.3136533728221693,-0.3,0.1854635417831281,-1.3583702436503058,-1.4695819838091473,0.1854635417831281,-1.3524602481842984
-0.2934176713497713,-0.3,0.1667678978904252,-1.1810576131300334,-1.5980064213591625,0.1667678978904252,-1.1751476176640263
-0.2731819698773733,-0.3,0.1493186302572358,-1.015565824644446,-1.6797475035599998,0.1493186302572358,-1.009655829178439
-0.2529462684049753,-0.3,0.1331157388835599,-0.8618948781935434,-1.7181251794474988,0.1331157388835599,-0.8559848827275364
-0.2327105669325772,-0.3,0.1181592237693974,-0.7200447737773253,-1.7164593980574987,0.1181592237693974,-0.7141347783113182
-0.2124748654601792,-0.3,0.1044490849147486,-0.5900155113957921,-1.6780701084258394,0.1044490849147486,-0.5841055159297851
-0.1922391639877812,-0.3,0.0919853223196133,-0.4718070910489438,-1.6062772595883612,0.0919853223196133,-0.4658970955829368
-0.1720034625153831,-0.3,0.0807679359839915,-0.3654195127367803,-1.5044008005809035,0.0807679359839915,-0.3595095172707732
-0.1517677610429851,-0.3,0.0707969259078833,-0.2708527764593017,-1.3757606804393063,0.0707969259078833,-0.2649427809932947
-0.1315320595705871,-0.3,0.0620722920912885,-0.188106882216508,-1.2236768481994087,0.0620722920912885,-0.1821968867505008
-0.1112963580981891,-0.3,0.0545940345342074,-0.1171818300083991,-1.0514692528970515,0.0545940345342074,-0.111271834542392
-0.0910606566257911,-0.2999604895924371,0.0483621532366397,-0.0580776198349749,-0.8624578435680734,0.0483621532366397,-0.0521676243689679
-0.070824955153393,-0.2986222094121123,0.0433766481985855,-0.0107942516962356,-0.6599625692483135,0.0433766481985855,-0.0048842562302284
